apartment_id,apartment_name,gu,legal_dong,latitude,longitude,final_local_market_id,final_local_market_name,market_definition_type,local_market_confidence,assignment_stability,algorithm_cluster,hierarchical_cluster,market_size_apartments,market_transactions_12m,dominant_legal_dong,dominant_dong_share,spatial_fragmentation_flag,low_sample_flag,data_quality_flag,cluster_algorithm_reference
A10025776,더힐시그니처,강서구,명지동,35.0959304769464,128.913268117194,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025901,부산전포동 사랑으로 부영아파트,부산진구,전포동,35.1574084114759,129.068715474769,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10025923,스위트팰리스,강서구,명지동,35.1099782684915,128.921377322155,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10025932,명지금강펜테리움센트럴파크3차,강서구,명지동,35.1040778310702,128.921442769417,,,,,,,,,,,,,,INSUFFICIENT_CLUSTER_FEATURES,KMEANS_K3_SEED20260911
A10025950,거제센트럴자이,연제구,거제동,35.193410924204,129.075544485213,LM080,연제구|거제동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,774.0,거제동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10025994,연제롯데캐슬데시앙,연제구,연산동,35.1804004746119,129.083357974777,LM081,연제구|연산동,LEGAL_DONG,HIGH,1.0,1.0,1.0,16.0,1001.0,연산동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026034,대신푸르지오1차,서구,서대신동1가,35.1073974230548,129.01613473633,LM071,서구|서대신동1가,LEGAL_DONG,HIGH,1.0,1.0,1.0,1.0,68.0,서대신동1가,1.0,False,True,LOW_SAMPLE,KMEANS_K3_SEED20260911
A10026094,대연SKVIEWHills(2단지),남구,대연동,35.13824171926,129.093430256325,LM022,남구|대연동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,982.0,대연동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026157,명지더웨스턴,강서구,명지동,35.0967275507,128.912899235566,LM001,강서구|명지동,LEGAL_DONG,HIGH,1.0,0.0,0.0,22.0,1081.0,명지동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026184,대연파크푸르지오,남구,대연동,35.1253456097927,129.090820034146,LM022,남구|대연동,LEGAL_DONG,HIGH,1.0,1.0,1.0,12.0,982.0,대연동,1.0,False,False,OK,KMEANS_K3_SEED20260911
A10026316,동래삼정그린코아포레스트,동래구,온천동,35.2040935729637,129.060840578575,LM037,동래구|온천동,LEGAL_DONG,HIGH,1.0,1.0,1.0,9.0,647.0,온천동,1.0,False,False,OK,KMEANS_K3_SEED20260911
