apartment_id,apartment_name,legal_dong,gu,school_premium_core_score,gap_confidence,has_6m_price,has_12m_price,has_24m_price,transaction_count_6m,transaction_count_12m,transaction_count_24m,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,temporal_std,temporal_range,temporal_cv,temporal_median,temporal_min,temporal_max,residual_method_gap_pct,comparable_method_gap_pct,gap_method_agreement,gap_method_abs_diff,large_method_disagreement,bootstrap_iterations,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p25,bootstrap_gap_p75,bootstrap_gap_p95,gap_positive_probability,gap_negative_probability,bootstrap_iqr,bootstrap_stability,sanity_flag,phase145_gap_reproduced,phase145_reproduction_error
A10023283,금호센트럴베이 행복주택 일광,일광읍,기장군,75.63647902869756,LOW,False,False,False,,,,,,,NANANA,INSUFFICIENT,,,,,,,,,INSUFFICIENT,,False,0,,,,,,,,,,False,,
A10023409,이진젠시티개금,개금동,부산진구,71.48399558498896,MEDIUM,True,True,True,16.0,49.0,74.0,-73.94696785501705,-63.01804905722284,-58.32374808058961,---,STABLE_NEGATIVE,8.01626184564913,15.62321977442744,0.1231447468973978,-63.01804905722284,-73.94696785501705,-58.32374808058961,-1.7836115961723973,-146.1103241138617,STRONG_NEGATIVE,144.32671251768932,True,500,-63.232008661031045,-136.1884619664803,-124.93879561730733,-58.95167275060395,-45.16200134091009,0.002,0.998,65.98712286670339,VERY_STABLE_NEGATIVE,False,-73.94696785501705,0.0
A10023417,더샵동래,온천동,동래구,83.8975165562914,MEDIUM,True,True,True,12.0,35.0,38.0,7.766837260498594,1.6746762508050184,0.5032523477593971,+++,STABLE_POSITIVE,3.8997077991654234,7.263584912739197,1.1764101400974118,1.6746762508050184,0.5032523477593971,7.766837260498594,12.209764063171711,3.323910457825475,STRONG_POSITIVE,8.885853605346236,False,500,1.4936575620811068,-9.532506141258551,-3.5644317011219657,9.99167472270195,20.453631884518856,0.57,0.43000000000000005,13.556106423823916,UNCERTAIN,False,7.766837260498594,0.0
A10023420,남천자이,남천동,수영구,53.67406181015453,LOW,True,True,True,14.0,45.0,71.0,-18.396437350041175,-16.389308448749933,-14.106840360455283,---,STABLE_NEGATIVE,2.1462707709554563,4.289596989585892,0.13169301971253333,-16.389308448749933,-18.396437350041175,-14.106840360455283,26.305259814371198,-63.09813451445355,MIXED_POSITIVE_RESIDUAL,89.40339432882475,True,500,-15.818622572902726,-23.65467057314543,-19.075047718927717,-11.58407784502097,-4.264255145751482,0.014,0.986,7.490969873906748,VERY_STABLE_NEGATIVE,False,-18.39643735004117,0.0
A10023436,데시앙해링턴플레이스파크시티,용호동,남구,41.660761589403975,LOW,True,True,True,38.0,99.0,159.0,-12.094524804033995,-10.885017915670991,-10.909770711253278,---,STABLE_NEGATIVE,0.6912744117747732,1.2095068883630038,0.061194017386904595,-10.909770711253278,-12.094524804033995,-10.885017915670991,15.83101485357571,-40.0200644616437,MIXED_POSITIVE_RESIDUAL,55.85107931521941,False,500,-10.630699432902937,-14.868712774600327,-13.676586394544701,-3.797619784740275,11.683578084335961,0.162,0.838,9.878966609804426,STABLE_NEGATIVE,False,-12.094524804033997,0.0
A10023440,힐스테이트사하역,괴정동,사하구,72.3003863134658,LOW,True,True,True,34.0,81.0,134.0,-23.403793499005456,-30.829412281075303,-27.99897238243721,---,STABLE_NEGATIVE,3.747596413862446,7.425618782069847,0.13672007105743775,-27.99897238243721,-30.829412281075303,-23.403793499005456,4.4776134242005,-51.28520042221141,MIXED_POSITIVE_RESIDUAL,55.76281384641191,False,500,-30.741729690650686,-63.462738256821524,-39.9181391816647,-21.103074157526414,-3.105279369021572,0.014,0.986,18.815065024138285,VERY_STABLE_NEGATIVE,False,-23.40379349900545,0.0
A10023526,힐스테이트연산,연산동,연제구,43.889845474613686,LOW,True,True,True,39.0,145.0,271.0,2.7759317628300586,4.285842118785104,6.1021985011389726,+++,STABLE_POSITIVE,1.6654844242801223,3.326266738308914,0.3795551318070314,4.285842118785104,2.7759317628300586,6.1021985011389726,9.14836013741449,-3.596496611754374,MIXED_POSITIVE_RESIDUAL,12.744856749168864,False,500,3.9717085566841424,-6.657427035125673,-0.5487474779752191,6.749991937864376,8.20866064980088,0.674,0.32599999999999996,7.298739415839595,UNCERTAIN,False,2.775931762830059,0.0
A10023533,오션파라곤아파트,문현동,남구,51.52516556291391,LOW,True,True,True,24.0,40.0,69.0,8.146211345665002,6.085749084137443,5.072811192958671,+++,STABLE_POSITIVE,1.56617029731871,3.0734001527063306,0.24338598683117252,6.085749084137443,5.072811192958671,8.146211345665002,21.4272733594654,-5.134850668135393,MIXED_POSITIVE_RESIDUAL,26.56212402760079,False,500,6.70346488132085,-25.262317844323064,3.2632243110447683,21.14601053662144,24.36245555640467,0.87,0.13,17.88278622557667,STABLE_POSITIVE,False,8.146211345665002,0.0
A10023542,해운대센트럴푸르지오,우동,해운대구,81.58217439293598,MEDIUM,True,True,True,11.0,30.0,43.0,20.59282756054169,16.810198771642504,17.705876017236776,+++,STABLE_POSITIVE,1.9767400560971962,3.782628788899185,0.10760911423513222,17.705876017236776,16.810198771642504,20.59282756054169,26.05026549017257,12.255022581168772,STRONG_POSITIVE,13.795242909003798,False,500,17.527283974259152,10.979696751692812,14.717479695808901,19.65850994959479,24.050328510329837,0.98,0.020000000000000018,4.94103025378589,VERY_STABLE_POSITIVE,False,19.152644035670672,0.0
A10023544,센트럴스타힐스,괘법동,사상구,49.17135761589404,LOW,True,True,True,18.0,52.0,112.0,-1.6313016603251684,-1.535893025440993,0.016057898861143782,--+,MIXED,0.9247925890251679,1.6473595591863122,0.8804371103802324,-1.535893025440993,-1.6313016603251684,0.016057898861143782,-1.6313016603251684,,INSUFFICIENT,,False,500,-1.7072570519154562,-4.692180776647543,-3.024137583312303,-0.41388812021369564,0.6281602064251879,0.122,0.878,2.6102494630986075,STABLE_NEGATIVE,False,-1.6313016603251684,0.0
