apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A10023912,일광한신더휴센트럴포레2단지,일광읍삼성리,기장군,1298.0,해빛초등학교,75.63647902869756,B,75.9504,428000000.0,456696431.1698333,509168059.25203925,11.489388683813285,52471628.08220595,5.68530466166037,15.0,6M,2026-08-28,OK
A10024606,일광대성베르힐,일광읍삼성리,기장군,518.0,해빛초등학교,75.63647902869756,B,84.52924999999999,422500000.0,455006242.0828105,507283677.77131695,11.489388683813262,52277435.688506424,5.68530466166037,14.0,6M,2026-08-28,OK
A10022405,드파인센텀,반여동,해운대구,750.0,무정초등학교,75.30364238410596,B,74.7417,625000000.0,508213654.8547885,565804808.5941743,11.332075238285611,57591153.73938578,5.443319503683487,11.0,6M,2026-08-28,OK
A10023647,센텀KCC스위첸,반여동,해운대구,638.0,무정초등학교,75.30364238410596,B,84.91,640000000.0,497648793.4658646,554042729.163837,11.332075238285611,56393935.69797236,5.443319503683487,17.0,6M,2026-08-28,OK
A61206110,센텀롯데캐슬3차아파트,반여동,해운대구,517.0,무정초등학교,75.30364238410596,B,59.9399,333500000.0,277163364.197072,308571725.16084766,11.332075238285565,31408360.963775635,5.443319503683487,12.0,6M,2026-08-28,OK
A61206114,센텀롯데캐슬2차,반여동,해운대구,1165.0,무정초등학교,75.30364238410596,B,84.97,335000000.0,386998420.54590774,430853372.733147,11.332075238285633,43854952.18723929,5.443319503683487,24.0,6M,2026-08-28,OK
A10023781,힐스테이트명륜트라디움,명륜동,동래구,874.0,교동초등학교,75.1171633554084,B,84.9665,1030000000.0,749374811.4886844,833634769.871791,11.244033972227907,84259958.38310659,5.443319503683487,7.0,6M,2026-08-28,OK
A10027690,명륜2차아이파크1단지,명륜동,동래구,2058.0,교동초등학교,75.1171633554084,B,84.9138,705000000.0,654476039.0114425,728065547.1779797,11.24403397222775,73589508.16653717,5.443319503683487,52.0,6M,2026-08-28,OK
A10026363,개금역금강펜테리움더스퀘어아파트,개금동,부산진구,620.0,개금초등학교,73.65309050772626,B,84.4932,581500000.0,509707958.726519,563508777.8517148,10.555224458259316,53800819.12519586,5.203302053364615,16.0,6M,2026-08-28,OK
A10022434,e편한세상송도더퍼스트비치,암남동,서구,1302.0,송도초등학교,73.16280353200882,B,59.991,461800000.0,438390557.7679833,483656624.5234554,10.325511339920102,45266066.755472064,4.96523907158497,107.0,6M,2026-08-28,OK
A10023790,힐스테이트이진베이시티아파트,암남동,서구,1368.0,송도초등학교,73.16280353200882,B,105.4798,880000000.0,683594686.0553589,754179332.8830962,10.325511339920102,70584646.82773733,4.96523907158497,29.0,6M,2026-08-28,OK
A10022365,연산포레서희스타힐스,연산동,연제구,612.0,연동초등학교,73.0110927152318,B,84.8526,519500000.0,681207255.0803286,751061839.2622335,10.25452733524801,69854584.18190491,4.96523907158497,14.0,6M,2026-08-28,OK
A61175901,연산자이,연산동,연제구,1598.0,연동초등학교,73.0110927152318,B,84.6588,612500000.0,588193390.6348112,648509842.6615798,10.254527335247987,60316452.026768684,4.96523907158497,24.0,6M,2026-08-28,OK
A10026484,해운대자이2차1단지,우동,해운대구,813.0,해림초등학교,72.85044150110376,B,84.7627,1020000000.0,933566918.5711172,1028598522.7768246,10.179409993571674,95031604.20570743,4.96523907158497,18.0,6M,2026-08-28,OK
A61202009,해운대자이1단지,우동,해운대구,1059.0,해림초등학교,72.85044150110376,B,84.67105000000001,1112500000.0,901092050.3213663,992817904.5430593,10.179409993571674,91725854.22169304,4.96523907158497,12.0,6M,2026-08-28,OK
