apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,primary_market,fallback_level,fallback_market_name,school_premium_core_score,estimated_school_premium_pct,school_premium_confidence,representative_area_m2,recent_6m_market_price,recent_12m_market_price,transaction_count_6m,transaction_count_12m,comparable_apartment_count,comparable_transaction_count,local_fair_price_per_m2,local_fair_total_price,fair_price_lower,fair_price_upper,prediction_interval_width_pct,selected_model_type,local_model_rmse,local_model_mae,recent_local_residual,residual_volatility,model_confidence,low_sample_flag,fallback_flag,data_quality_flag
A10023417,더샵동래,동래구,온천동,603.0,온천초등학교,동래구|온천동,0,동래구|온천동,83.8975165562914,15.465955809686394,B,84.8828,8422345.04242008,8600093.305121886,12,35,8,2408,6181667.765286366,524717268.5872496,4539186.596890722,8418472.240501396,62.75467706943266,F_S,0.15757156514010623,0.11649320025479064,0.34429817139720065,0.06985318152441235,HIGH,False,False,OK
A10023420,남천자이,수영구,남천동,913.0,광남초등학교,수영구|남천동,0,수영구|남천동,53.67406181015453,1.57088074523708,B,84.9838,17355158.24747494,16734292.766118592,14,45,4,1605,15176085.960446494,1289721454.0453928,11698499.12334282,19687447.308458623,52.641690393276875,F_S,0.1327858894560111,0.1022063269206534,0.10621371920306188,0.15478165242404396,MEDIUM,False,False,OK
A10023436,데시앙해링턴플레이스파크시티,남구,용호동,1725.0,운산초등학교,남구|용호동,0,남구|용호동,41.660761589403975,-3.475958164250126,B,59.9725,6294551.669515194,6302888.824044354,38,99,8,3746,7472337.704266384,448134772.9691157,5283300.421845484,10568361.877687296,70.72835389685706,F_S,0.17686577221442845,0.13696562015300429,-0.156236493973692,0.0677084424905496,HIGH,False,False,OK
A10023440,힐스테이트사하역,사하구,괴정동,1314.0,사남초등학교,사하구|괴정동,1,사하구|괴정동;사하구|구평동,72.3003863134658,9.922602413621108,B,84.921,7110116.854637234,7183146.689275915,34,81,5,1122,7393640.388949035,627875335.469941,4609876.953972057,11858433.26121665,98.03771790251939,F_S,0.24103013177016724,0.1824645800248972,-0.034955744110822806,0.0538366921555897,MEDIUM,True,True,OK
A10023526,힐스테이트연산,연제구,연산동,1651.0,연미초등학교,연제구|연산동,0,연제구|연산동,43.889845474613686,-2.5588411448523973,B,74.6718,7520336.685120326,7461492.110119384,39,145,15,4933,8288023.525605147,618881635.0992824,5589673.485738762,12288970.748692285,80.83105992950686,F_S,0.20096461683091077,0.15630766932821155,-0.0907422992812954,0.12406657465360356,HIGH,False,False,OK
A10023533,오션파라곤아파트,남구,문현동,662.0,성천초등학교,남구|문현동,0,남구|문현동,51.52516556291391,0.6491282497115725,B,72.9631,5640405.265485099,5644384.681471869,24,40,6,1222,6722505.690716452,490494854.96231353,5297025.006779478,8531597.019813066,48.115571214769226,F_S,0.12158959805849731,0.09133348579080684,-0.21082957754441445,0.13248883548971405,HIGH,False,False,OK
A10023542,해운대센트럴푸르지오,해운대구,우동,548.0,해운대초등학교,해운대구|우동,0,해운대구|우동,81.58217439293598,14.337341114040411,B,84.5444,11412248.04815263,11501895.240147397,11,30,18,3881,11807970.58913099,998297788.675726,7098459.864894224,19642031.100764755,106.2296957905421,F_S,0.2596412943969097,0.2081108828451275,-0.04024725185774791,0.08527356925212516,MEDIUM,False,False,OK
A10023544,센트럴스타힐스,사상구,괘법동,874.0,창진초등학교,사상구|괘법동,1,사상구|괘법동;사상구|주례동,49.17135761589404,-0.3509229405541436,B,59.9926,6706684.856965987,6610386.810008301,18,52,11,2742,6683352.316685878,400951682.1940092,4167017.8963553,10719223.987019295,98.03771790251939,F_S,0.24103013177016724,0.1824645800248972,0.008518613035973566,0.13950607818491076,MEDIUM,True,True,OK
A10023571,주례롯데캐슬골드스마트,사상구,주례동,998.0,주감초등학교,사상구|주례동,0,사상구|주례동,58.16153421633554,3.5230580408076806,A,84.8758,6833514.382191391,6880642.067585814,27,58,8,2126,6491168.135890861,550943088.4682455,4708255.584042773,8949230.350028079,65.33453882570346,F_S,0.16383930078427805,0.1276785728344529,0.06697814418877446,0.06219881322717758,HIGH,False,False,OK
A10023607,더샵남천프레스티지,수영구,남천동,975.0,남천초등학교,수영구|남천동,0,수영구|남천동,77.64387417218543,12.442897505507666,B,84.1286,15207506.425171465,14054742.961708114,25,66,4,1544,13159632.65050743,1107101471.4014795,10144114.327416833,17071567.40418953,52.64169039327689,F_S,0.1327858894560111,0.1022063269206534,0.08415357539844592,0.10305789056972056,MEDIUM,False,False,OK
A10023616,래미안어반파크2단지,부산진구,연지동,2616.0,연지초등학교,부산진구|연지동,0,부산진구|연지동,67.58669977924946,7.74629440984449,B,84.86,9072699.926481169,9041676.47751354,62,139,5,1092,8656278.010307426,734571751.9546882,6388989.2804139415,11728169.46515161,61.679860309246806,F_S,0.15495344664818375,0.12258964508907652,0.046252482946819384,0.11016279154074524,HIGH,False,False,OK
