market_key,district,legal_dong,fallback_level,fallback_market_name,pool_market_keys,fallback_pool_apartments,fallback_pool_transactions,fallback_reason,original_apartments,original_transactions,original_sufficient,rmse,mae,model_confidence,attempted_fallback,selected_fallback_method,reason
서구|남부민동,서구,남부민동,1,서구|남부민동;서구|부민동3가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,"('서구|남부민동', '서구|부민동3가', '서구|서대신동2가', '서구|서대신동3가', '서구|아미동2가')",5,172,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|동대신동1가,서구,동대신동1가,1,서구|동대신동1가;서구|동대신동3가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,"('서구|동대신동1가', '서구|동대신동3가', '서구|서대신동2가', '서구|서대신동3가', '서구|아미동2가')",6,217,SAME_GU_SIMILAR_PROFILE,1,37,False,0.09863841732361246,0.08148368802707337,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|동대신동3가,서구,동대신동3가,1,서구|동대신동1가;서구|동대신동3가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,"('서구|동대신동1가', '서구|동대신동3가', '서구|서대신동2가', '서구|서대신동3가', '서구|아미동2가')",6,217,SAME_GU_SIMILAR_PROFILE,1,32,False,0.136440074608313,0.11799245600495904,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|부민동3가,서구,부민동3가,1,서구|남부민동;서구|동대신동3가;서구|부민동3가;서구|서대신동2가;서구|서대신동3가,"('서구|남부민동', '서구|동대신동3가', '서구|부민동3가', '서구|서대신동2가', '서구|서대신동3가')",6,204,SAME_GU_SIMILAR_PROFILE,1,24,False,0.18591981322314924,0.1625549967705867,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|서대신동1가,서구,서대신동1가,1,서구|서대신동1가;서구|서대신동2가;서구|아미동2가;서구|암남동,"('서구|서대신동1가', '서구|서대신동2가', '서구|아미동2가', '서구|암남동')",5,347,SAME_GU_SIMILAR_PROFILE,1,68,False,0.10165074904329577,0.08271276995003331,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|서대신동2가,서구,서대신동2가,1,서구|동대신동3가;서구|서대신동1가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,"('서구|동대신동3가', '서구|서대신동1가', '서구|서대신동2가', '서구|서대신동3가', '서구|아미동2가')",6,248,SAME_GU_SIMILAR_PROFILE,2,120,False,0.062344101850212996,0.04697164848759238,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|서대신동3가,서구,서대신동3가,1,서구|남부민동;서구|동대신동3가;서구|부민동3가;서구|서대신동2가;서구|서대신동3가,"('서구|남부민동', '서구|동대신동3가', '서구|부민동3가', '서구|서대신동2가', '서구|서대신동3가')",6,204,SAME_GU_SIMILAR_PROFILE,2,28,False,0.1856930356380662,0.13986724193030708,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|아미동2가,서구,아미동2가,1,서구|동대신동3가;서구|서대신동1가;서구|서대신동2가;서구|서대신동3가;서구|아미동2가,"('서구|동대신동3가', '서구|서대신동1가', '서구|서대신동2가', '서구|서대신동3가', '서구|아미동2가')",6,248,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
서구|암남동,서구,암남동,1,서구|서대신동1가;서구|서대신동2가;서구|암남동,"('서구|서대신동1가', '서구|서대신동2가', '서구|암남동')",5,347,SAME_GU_SIMILAR_PROFILE,2,159,False,0.12295497127751116,0.10688399484278911,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
수영구|광안동,수영구,광안동,1,수영구|광안동;수영구|남천동,"('수영구|광안동', '수영구|남천동')",9,599,SAME_GU_SIMILAR_PROFILE,4,155,False,0.32772560881367857,0.29475563594193277,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
수영구|망미동,수영구,망미동,1,수영구|남천동;수영구|망미동,"('수영구|남천동', '수영구|망미동')",9,589,SAME_GU_SIMILAR_PROFILE,4,145,False,0.1345002310279544,0.08948260753984248,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
수영구|수영동,수영구,수영동,1,수영구|망미동;수영구|수영동,"('수영구|망미동', '수영구|수영동')",6,180,SAME_GU_SIMILAR_PROFILE,2,35,False,0.24260705470467853,0.22017994844102565,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
영도구|봉래동2가,영도구,봉래동2가,1,영도구|동삼동;영도구|봉래동2가;영도구|영선동4가;영도구|청학동,"('영도구|동삼동', '영도구|봉래동2가', '영도구|영선동4가', '영도구|청학동')",10,254,SAME_GU_SIMILAR_PROFILE,1,9,False,0.09316830130424923,0.07946006286079943,LOW,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
영도구|봉래동4가,영도구,봉래동4가,2,영도구|동삼동;영도구|봉래동2가;영도구|봉래동4가;영도구|영선동4가;영도구|청학동,"('영도구|동삼동', '영도구|봉래동2가', '영도구|봉래동4가', '영도구|영선동4가', '영도구|청학동')",11,313,SAME_GU,1,59,False,0.10205264119212207,0.07354297562680524,MEDIUM,F1/F2/F3,F3,SAME_GU
영도구|영선동4가,영도구,영선동4가,1,영도구|봉래동2가;영도구|봉래동4가;영도구|영선동4가;영도구|청학동,"('영도구|봉래동2가', '영도구|봉래동4가', '영도구|영선동4가', '영도구|청학동')",5,116,SAME_GU_SIMILAR_PROFILE,1,19,False,0.1265717372399027,0.10036183885506517,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
영도구|청학동,영도구,청학동,2,영도구|동삼동;영도구|봉래동2가;영도구|봉래동4가;영도구|영선동4가;영도구|청학동,"('영도구|동삼동', '영도구|봉래동2가', '영도구|봉래동4가', '영도구|영선동4가', '영도구|청학동')",11,313,SAME_GU,2,29,False,0.2517047541584279,0.1883712475788885,MEDIUM,F1/F2/F3,F3,SAME_GU
해운대구|반송동,해운대구,반송동,1,해운대구|반송동;해운대구|좌동,"('해운대구|반송동', '해운대구|좌동')",31,1214,SAME_GU_SIMILAR_PROFILE,3,67,False,0.2685630270928923,0.23799392696672297,MEDIUM,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
해운대구|송정동,해운대구,송정동,1,해운대구|송정동;해운대구|우동,"('해운대구|송정동', '해운대구|우동')",19,766,SAME_GU_SIMILAR_PROFILE,0,0,False,,,,F1/F2/F3,F3,SAME_GU_SIMILAR_PROFILE
