target_apartment_id,target_apartment_name,comparable_rank,comparable_apartment_id,comparable_apartment_name,same_legal_dong,fallback_level,age_difference,household_difference,area_difference,school_score_difference,similarity_distance,comparable_transaction_count
A10023104,사상중흥에스-클래스그랜드센트럴,1,A10023544,센트럴스타힐스,False,1,1,698.0,19.86379999999999,0.04922737306843317,0.7105535214164604,162.0
A10023104,사상중흥에스-클래스그랜드센트럴,2,A61776003,괘법한신2,False,1,26,478.0,6.456399999999988,0.04922737306843317,0.7389092690146135,325.0
A10023104,사상중흥에스-클래스그랜드센트럴,3,A61777903,덕포경동메르빌,True,1,11,1055.0,5.852599999999995,9.393598233995597,1.0073277359742894,161.0
A10023104,사상중흥에스-클래스그랜드센트럴,4,A61780802,사상강변동원,False,1,24,972.0,5.736399999999989,0.04922737306843317,1.0308562882692764,188.0
A10023104,사상중흥에스-클래스그랜드센트럴,5,A61781005,자유,True,1,35,792.0,25.856399999999994,18.96705298013245,1.5899510149328973,223.0
A10023208,두산위브더제니스하버시티,1,A10025380,협성휴포레부산진역오션뷰,False,1,4,1252.0,6.134699999999995,27.64061810154525,0.850908015373114,199.0
A10023208,두산위브더제니스하버시티,2,A10026746,오션브릿지,True,1,6,1388.0,15.695499999999996,0.0,1.0771487067737715,247.0
A10023208,두산위브더제니스하버시티,3,A60106001,한성기린,True,1,25,1493.0,15.645499999999998,0.0,1.3768534587004493,138.0
A10023208,두산위브더제니스하버시티,4,A60106002,두산위브포세이돈2,True,1,16,1350.0,9.344499999999996,0.0,1.6396037836501054,186.0
A10023409,이진젠시티개금,1,A10026363,개금역금강펜테리움더스퀘어아파트,True,0,5,116.0,10.367900000000006,2.169094922737301,0.28343207274081617,252.0
A10023409,이진젠시티개금,2,A61477105,개금아이파크,True,0,21,688.0,10.8647,19.31313465783665,0.8282846736199935,349.0
A10023409,이진젠시티개금,3,A61480908,동원화인패밀리,True,0,27,158.0,10.854700000000008,34.425607064017655,0.8336203056565787,230.0
A10023409,이진젠시티개금,4,A61481111,엘지신개금(2-1),True,0,24,1774.0,14.125299999999996,31.381953642384104,1.3194118849102618,435.0
A10023409,이진젠시티개금,5,A61477009,개금우드빌,True,0,29,244.0,29.2553,34.425607064017655,1.7254377558297516,297.0
A10023417,더샵동래,1,A10025463,동래효성해링턴플레이스,True,0,4,159.0,0.30859999999999843,6.365397350993376,0.2352078206703216,268.0
A10023417,더샵동래,2,A10026316,동래삼정그린코아포레스트,True,0,5,21.0,0.08960000000000434,44.294591611479035,0.29852667464313115,270.0
A10023417,더샵동래,3,A10024005,동래3차SKVIEW,True,0,1,396.0,0.06680000000000064,0.0,0.5026632497676389,328.0
A10023417,더샵동래,4,A60784207,반도보라스카이뷰,True,0,17,546.0,0.06730000000000302,6.365397350993376,0.711935152374984,331.0
A10023417,더샵동래,5,A60783306,벽산아스타,True,0,15,45.0,33.0252,0.0,1.0278324475883498,162.0
A10023420,남천자이,1,A10023607,더샵남천프레스티지,True,0,0,62.0,0.8551999999999964,23.969812362030908,0.4258554095109997,173.0
A10023420,남천자이,2,A61381805,코오롱하늘채골든비치,True,0,14,74.0,40.5162,0.0,1.1108622174734284,208.0
A10023420,남천자이,3,A61381903,뉴비치,True,0,37,77.0,9.5638,23.969812362030908,1.3534993251432514,208.0
A10023420,남천자이,4,A61301003,삼익비치,True,0,43,2147.0,11.0638,0.0,1.8271835071531999,1016.0
A10023436,데시앙해링턴플레이스파크시티,1,A61202008,쌍용예가,True,0,10,952.0,0.01950000000000074,17.125938189845478,0.7355019291667997,268.0
A10023436,데시앙해링턴플레이스파크시티,2,A60883203,용호동일신님(林)Ⅱ,True,0,17,1015.0,25.002499999999998,8.829966887417221,1.030086923825822,194.0
A10023436,데시앙해링턴플레이스파크시티,3,A60876402,현대비치,True,0,25,1077.0,0.35249999999999915,8.829966887417221,1.183167744603404,137.0
A10023436,데시앙해링턴플레이스파크시티,4,A60876301,일신프리빌리지,True,0,27,1207.0,24.95750000000001,8.829966887417221,1.4309356376328637,132.0
A10023436,데시앙해링턴플레이스파크시티,5,A60809004,엘지메트로시티4-2(230~238),True,0,22,5649.0,25.027500000000003,35.04332229580574,1.9005232217958927,1667.0
A10023440,힐스테이트사하역,1,A10026651,e편한세상사하2차,False,1,5,368.0,0.31790000000000873,35.57135761589405,0.3902592835464223,352.0
A10023440,힐스테이트사하역,2,A10027306,e편한세상사하,False,1,6,246.0,11.956900000000005,35.57135761589405,0.4609050212037404,391.0
A10023440,힐스테이트사하역,3,A10023969,괴정한신더휴,True,1,1,479.0,24.973400000000005,36.875165562913914,0.6664824776794087,129.0
A10023440,힐스테이트사하역,4,A10024383,사하역비스타동원,True,1,2,801.0,9.942400000000006,9.80314569536425,0.8310073491173655,126.0
A10023440,힐스테이트사하역,5,A60481703,구평1차자유,False,1,24,730.0,24.951000000000008,35.57135761589405,1.0992838908576037,124.0
A10023526,힐스테이트연산,1,A10024627,연산롯데캐슬골드포레,True,0,2,421.0,1.83720000000001,20.92477924944813,0.2617041649503701,389.0
A10023526,힐스테이트연산,2,A10025994,연제롯데캐슬데시앙,True,0,3,483.0,10.148199999999989,11.588024282560703,0.35761880838197124,427.0
A10023526,힐스테이트연산,3,A10027937,더샵파크시티,True,0,7,107.0,10.28819999999999,12.919094922737301,0.39469928446344826,663.0
A10023526,힐스테이트연산,4,A10025559,연산더샵,True,0,3,580.0,10.1023,20.92477924944813,0.4372900942072384,389.0
A10023526,힐스테이트연산,5,A61176411,연산엘지,True,0,23,651.0,10.31819999999999,25.251821192052994,0.6742719446669085,668.0
A10023533,오션파라곤아파트,1,A10024704,문현경동리인아파트,True,0,3,62.0,6.659500000000008,7.718156732891842,0.16900141669493232,113.0
A10023533,오션파라곤아파트,2,A10023872,대연양우내안애퍼스트,True,0,1,102.0,12.005300000000005,12.18465783664459,0.3490607243365778,223.0
A10023533,오션파라곤아파트,3,A10025508,베스티움,True,0,4,81.0,13.005699999999997,5.875772626931571,0.3587475862971561,316.0
A10023533,오션파라곤아파트,4,A60879704,현대,True,0,25,31.0,11.882900000000006,7.718156732891842,0.6912300753952735,175.0
A10023533,오션파라곤아파트,5,A60872101,시티프라자,True,0,24,141.0,13.563099999999999,5.875772626931571,0.721085432523614,154.0
A10023542,해운대센트럴푸르지오,1,A10025214,해운대비스타동원,True,0,3,44.0,0.40390000000000725,11.788741721854308,0.11374739277595836,87.0
A10023542,해운대센트럴푸르지오,2,A10022568,해운대경동리인뷰2차,True,0,1,84.0,0.4329000000000036,0.0,0.358991405929708,7.0
A10023542,해운대센트럴푸르지오,3,A61202011,센텀두산위브,True,0,8,33.0,0.4544000000000068,15.969094922737312,0.3643950858224308,152.0
A10023542,해운대센트럴푸르지오,4,A10026484,해운대자이2차1단지,True,0,5,265.0,0.3744000000000085,8.731732891832223,0.36927983935966474,229.0
A10023542,해운대센트럴푸르지오,5,A61286810,반도보라빌,True,0,17,0.0,0.36290000000001044,8.731732891832223,0.4253699466599225,145.0
A10023544,센트럴스타힐스,1,A10026975,주례경동리인,False,1,6,35.0,14.534799999999997,8.990176600441501,0.5799526517348013,279.0
A10023544,센트럴스타힐스,2,A61783203,엘지신주례1,False,1,26,79.0,0.022600000000004172,9.069315673289182,0.6672569229763206,232.0
A10023544,센트럴스타힐스,3,A10023571,주례롯데캐슬골드스마트,False,1,0,124.0,24.883199999999995,8.990176600441501,0.6936285952922835,103.0
