gu,legal_dong,apartment_count,high_model_count,medium_model_count,median_gap,p25,p75,positive_share,negative_share,strong_undervalued_count,strong_overvalued_count,median_interval_width,dong_bias_flag
사상구,학장동,10,10,0,4.949625863169205,-2.2976345253770654,11.722230588449156,0.5,0.2,0,0,56.04878504277069,False
사하구,감천동,1,0,1,8.742363005172837,8.742363005172837,8.742363005172837,1.0,0.0,0,0,98.03771790251967,False
사하구,괴정동,3,0,3,0.6013662265169417,-1.1625881601957766,1.7658745452208469,0.0,0.0,0,0,98.0377179025194,False
사하구,구평동,3,0,3,5.1805818202284915,-0.0015913557065871942,24.05390127716259,0.6666666666666666,0.3333333333333333,0,0,98.03771790251966,False
사하구,다대동,15,15,0,5.733074083512624,-8.32973064085864,18.77083430164318,0.5333333333333333,0.4666666666666667,1,0,77.76462549292515,False
사하구,당리동,1,0,1,2.1809007369090194,2.1809007369090194,2.1809007369090194,0.0,0.0,0,0,98.0377179025194,False
사하구,신평동,6,1,5,2.8055753556258667,-5.983475276354881,5.710407725827343,0.5,0.3333333333333333,0,1,38.86867394652445,False
사하구,장림동,5,0,5,8.385824435720934,7.393843321655158,10.93073464425325,0.8,0.2,0,1,55.01994755767705,False
사하구,하단동,4,0,4,6.623740539664019,-2.505524264330111,21.78177823478533,0.5,0.0,0,0,98.03771790251966,False
서구,동대신동1가,1,0,1,2.674274202642879,2.674274202642879,2.674274202642879,0.0,0.0,0,0,98.03771790251938,False
서구,동대신동3가,1,0,1,9.410112648603208,9.410112648603208,9.410112648603208,1.0,0.0,0,0,98.0377179025194,False
서구,부민동3가,1,0,1,10.897037101546147,10.897037101546147,10.897037101546147,1.0,0.0,0,0,98.03771790251965,False
서구,서대신동1가,1,0,1,3.4836904140383096,3.4836904140383096,3.4836904140383096,1.0,0.0,0,0,98.03771790251936,False
서구,서대신동2가,2,0,2,-0.6897551441046534,-1.3497663223938416,-0.029743965815465234,0.0,0.0,0,0,98.03771790251938,False
서구,서대신동3가,2,0,2,13.3350388173132,5.947280657671936,20.722796976954463,0.5,0.0,0,0,98.03771790251966,False
서구,암남동,2,0,2,-1.1921973796461205,-4.35461156952362,1.9702168102313786,0.5,0.5,0,0,98.03771790251938,False
수영구,광안동,4,0,4,9.682451615082467,-22.180023292586533,39.013651233354935,0.5,0.5,0,0,98.0377179025195,False
수영구,남천동,5,0,5,-6.368741951662827,-9.311458974991481,-2.2964680747720068,0.0,0.6,0,0,52.64169039327688,False
수영구,망미동,4,0,4,-6.410845801172011,-9.806118962359983,6.921116068329805,0.25,0.75,0,0,98.03771790251966,False
수영구,민락동,5,0,5,-0.22128634093284694,-0.8452692829377662,2.8058710111286578,0.2,0.2,0,0,62.59727573608414,False
수영구,수영동,2,0,2,1.9594636194444242,-9.097793281984606,13.016720520873454,0.5,0.5,0,0,98.03771790251952,False
연제구,거제동,10,10,0,-1.9062385592092779,-12.406657251135488,6.522155278263947,0.4,0.5,1,0,85.06827695914018,False
연제구,연산동,16,16,0,-0.6377020944390133,-6.873762068229619,12.832806230277296,0.4375,0.5,0,0,80.83105992950661,False
영도구,동삼동,7,7,0,7.161846554912277,2.598524902230692,23.00615915055574,0.5714285714285714,0.14285714285714285,0,0,89.78005890718237,False
영도구,봉래동2가,1,0,1,4.821893691884327,4.821893691884327,4.821893691884327,1.0,0.0,0,0,98.03771790251967,False
영도구,봉래동4가,1,0,1,1.404354777228134,1.404354777228134,1.404354777228134,0.0,0.0,0,0,98.0377179025194,False
영도구,영선동4가,1,0,1,1.6027916066480241,1.6027916066480241,1.6027916066480241,0.0,0.0,0,0,98.03771790251966,False
영도구,청학동,2,0,2,14.125282343168534,2.974188828939056,25.276375857398012,0.5,0.5,0,0,98.03771790251966,True
해운대구,반송동,3,0,3,21.400829868762482,12.116719631414297,25.537190230528537,0.6666666666666666,0.0,0,0,98.03771790251967,True
해운대구,반여동,13,13,0,3.112192138859138,-8.904087505100645,14.804344548156735,0.5384615384615384,0.46153846153846156,0,0,82.30851706251671,False
해운대구,우동,19,0,19,0.11833772258220687,-11.648497526661117,23.530758791478135,0.3684210526315789,0.47368421052631576,0,1,106.22969579054208,False
해운대구,재송동,11,0,11,6.772213927421622,-8.378178046281299,49.43668087070823,0.5454545454545454,0.45454545454545453,2,0,104.66698005288264,False
해운대구,좌동,28,28,0,1.778758302244976,-4.495736179076971,9.242925452949862,0.4642857142857143,0.2857142857142857,0,0,67.79805393696266,False
해운대구,중동,5,0,5,0.7772894730848634,-0.15192858602923742,1.9963796360436215,0.0,0.0,0,0,59.34542425466478,False
