middle_school_id,middle_school_name,requested_year,observed_year,availability,eligible_for_scoring,manual_review,review_reason,source_document
S020000796,남일중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000796.html
S020000797,충렬중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000797.html
S020000798,학산여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000798.html
S020000799,혜화여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000799.html
S020000849,금양중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000849.html
S020000927,윤산중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020000927.html
S020000955,가야여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000955.html
S020000956,개금여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000956.html
S020000957,개림중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000957.html
S020000958,거성중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000958.html
S020000959,거제여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000959.html
S020000960,광무여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000960.html
S020000961,덕명여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000961.html
S020000963,동의중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000963.html
S020000964,동평여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000964.html
S020000965,동평중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000965.html
S020000966,모동중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000966.html
S020000967,부산개성중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000967.html
S020000969,부산국제중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000969.html
S020000971,부산동중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000971.html
S020000972,부산중앙중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000972.html
S020000973,부산진여자중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000973.html
S020000974,부산진중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000974.html
S020000975,신라중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000975.html
S020000976,서면중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000976.html
S020000978,연산중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000978.html
S020000979,연일중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000979.html
S020000980,연제중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000980.html
S020000981,연천중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000981.html
S020000983,이사벨중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000983.html
S020000984,초연중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000984.html
S020000986,초읍중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000986.html
S020000987,토현중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000987.html
S020000988,항도중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020000988.html
S020001202,가락중학교,2024,,not_published,False,True,official_page_reports_no_data,data\raw\advancement\2024\S020001202.html
S020001203,가람중학교,2024,2024.0,available,True,False,,data\raw\advancement\2024\S020001203.html
