audit_segment,apartment_id,apartment_name,legal_dong,sigungu,household_count,elementary_name,school_premium_core_score,school_premium_confidence,recent_market_price,residual_premium,transaction_count,has_guaranteed_assignment,sanity_flag,sanity_reason
CORE_BOTTOM_30,A10027026,지사과학삼정그린코아,지사동,강서구,1013.0,녹산초등학교,24.00115894039736,A,142000000.0,0.049522182239691404,21,1.0,False,
CORE_BOTTOM_30,A10028069,협성·DS엘리시안,지사동,강서구,1277.0,녹산초등학교,24.00115894039736,A,135000000.0,0.020578737427262794,46,1.0,False,
CORE_BOTTOM_30,A61823001,지사휴먼시아,지사동,강서구,961.0,녹산초등학교,24.00115894039736,A,,,0,1.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A61823002,지사금강펜테리움,지사동,강서구,1111.0,녹산초등학교,24.00115894039736,A,115000000.0,-0.011937825897028631,37,1.0,False,
CORE_BOTTOM_30,A61202008,쌍용예가,용호동,남구,773.0,백운초등학교,24.534823399558498,B,280000000.0,-0.24651143018545785,17,0.0,False,
CORE_BOTTOM_30,A60474307,다대해송,다대동,사하구,714.0,다송초등학교,24.5848233995585,B,135000000.0,0.3447666423198896,6,0.0,False,
CORE_BOTTOM_30,A60475305,신다대,다대동,사하구,570.0,다송초등학교,24.5848233995585,B,57000000.0,0.186142516640051,17,0.0,False,
CORE_BOTTOM_30,A60475309,3지구도개공아파트,다대동,사하구,750.0,다송초등학교,24.5848233995585,B,,,0,0.0,True,EXTREMELY_LOW_TRANSACTION_COUNT
CORE_BOTTOM_30,A60475408,국제그린,다대동,사하구,996.0,다송초등학교,24.5848233995585,B,70000000.0,-0.21875568007835877,24,0.0,False,
CORE_BOTTOM_30,A60475412,다송,다대동,사하구,500.0,다송초등학교,24.5848233995585,B,57000000.0,-0.2204358134292459,15,0.0,False,
CORE_BOTTOM_30,A60702002,우성베스토피아,복천동,동래구,744.0,내성초등학교,26.39878587196468,B,352500000.0,-0.034582259351250144,8,0.0,False,
RESIDUAL_TOP_30,A60775306,동래럭키,온천동,동래구,1536.0,내산초등학교,68.33162251655628,B,870000000.0,0.9078456712574177,14,0.0,True,PRICE_OUTLIER
RESIDUAL_TOP_30,A61410304,"삼익(10,11동)",당감동,부산진구,1074.0,당감초등학교,48.909823399558505,B,270000000.0,0.7832532481094558,7,0.0,True,PRICE_OUTLIER
RESIDUAL_TOP_30,A10026391,더블유,용호동,남구,1488.0,분포초등학교,82.85033112582782,B,1935000000.0,0.6625049781301948,33,0.0,True,PRICE_OUTLIER
RESIDUAL_TOP_30,A60776006,한양,낙민동,동래구,552.0,낙민초등학교,57.23300220750552,B,447500000.0,0.6355473683962405,8,0.0,False,
RESIDUAL_TOP_30,A60476604,다대코오롱맨션,다대동,사하구,520.0,다선초등학교,40.872958057395145,B,197500000.0,0.5839932640114593,8,0.0,False,
RESIDUAL_TOP_30,A61272011,현대그린맨션,반여동,해운대구,600.0,장산초등학교,72.56655629139073,B,280500000.0,0.583014664066706,3,0.0,False,
RESIDUAL_TOP_30,A61274707,삼호가든맨션,우동,해운대구,1076.0,강동초등학교,65.61307947019867,B,790000000.0,0.5803632198452435,7,0.0,False,
RESIDUAL_TOP_30,A10025181,엘시티,중동,해운대구,882.0,해운대초등학교,81.58217439293598,B,3080000000.0,0.5569834957919699,11,0.0,False,
RESIDUAL_TOP_30,A10027054,사직롯데캐슬더클래식,사직동,동래구,1064.0,여고초등학교,89.16280353200884,B,1138500000.0,0.5184275745048659,16,0.0,False,
RESIDUAL_TOP_30,A61776303,럭키주례1,주례동,사상구,2293.0,동주초등학교,43.32251655629139,B,257000000.0,0.5184160921434717,15,0.0,False,
RESIDUAL_TOP_30,A61202004,대우트럼프월드센텀,우동,해운대구,564.0,강동초등학교,65.61307947019867,B,1430000000.0,0.5070406925732165,4,0.0,False,
RESIDUAL_TOP_30,A61282215,대우마리나1,우동,해운대구,1164.0,해강초등학교,82.99199779249447,B,1130000000.0,0.49681504860039816,9,0.0,False,
RESIDUAL_TOP_30,A61175110,주공,연산동,연제구,2038.0,토현초등학교,46.31578366445916,B,430000000.0,0.49055729655946223,13,0.0,False,
RESIDUAL_TOP_30,A10022847,대연비치,대연동,남구,1384.0,남천초등학교,77.64387417218543,B,1042500000.0,0.4679532071918686,24,0.0,False,
RESIDUAL_TOP_30,A61274011,경남마리나,우동,해운대구,624.0,해강초등학교,82.99199779249447,B,800000000.0,0.43243502301443826,12,0.0,False,
RESIDUAL_TOP_30,A61278912,대우마리나3,우동,해운대구,750.0,해강초등학교,82.99199779249447,B,946000000.0,0.42010241922933034,16,0.0,False,
RESIDUAL_TOP_30,A61175209,한양(1차),연산동,연제구,1452.0,연천초등학교,69.14166666666668,B,287000000.0,0.4088039513362176,17,0.0,False,
RESIDUAL_TOP_30,A61990609,청강주공,기장읍청강리,기장군,520.0,대청초등학교,65.05954746136865,B,100000000.0,0.4034295538038499,7,0.0,False,
RESIDUAL_TOP_30,A10022280,두산위브더제니스센트럴사하,장림동,사하구,1643.0,보림초등학교,77.03780353200882,B,375000000.0,0.40189037972522534,15,0.0,False,
RESIDUAL_TOP_30,A10024982,쌍용더플래티넘사직아시아드아파트,사직동,동래구,914.0,여고초등학교,89.16280353200884,B,965000000.0,0.39868366820842027,20,0.0,False,
RESIDUAL_TOP_30,A60477315,장림현대(372-4),장림동,사하구,828.0,효림초등학교,29.150275938189846,B,130000000.0,0.39615573440914886,3,0.0,False,
RESIDUAL_TOP_30,A60975204,선경1,구서동,금정구,616.0,구서초등학교,66.87472406181016,B,397000000.0,0.39316899821640483,4,0.0,False,
RESIDUAL_TOP_30,A61271204,더샵센텀파크1차,재송동,해운대구,2752.0,센텀초등학교,89.52671081677705,A,1297000000.0,0.39205758669138113,45,1.0,False,
RESIDUAL_TOP_30,A10023684,포레나부산덕천1차,덕천동,북구,636.0,덕성초등학교,67.33973509933774,A,551500000.0,0.38772326381946876,36,1.0,False,
RESIDUAL_TOP_30,A60809002,GS하이츠자이,용호동,남구,1149.0,용문초등학교,76.70408388520971,B,1055000000.0,0.3811801177510752,21,0.0,False,
RESIDUAL_TOP_30,A60475507,대우,다대동,사하구,546.0,중현초등학교,35.72958057395144,B,383000000.0,0.3803019888651207,5,0.0,False,
RESIDUAL_TOP_30,A61271302,더샵센텀파크2차,재송동,해운대구,998.0,센텀초등학교,89.52671081677705,A,1112500000.0,0.3609622137808337,10,1.0,False,
RESIDUAL_TOP_30,A61477403,시영(1~5동),개금동,부산진구,633.0,주례초등학교,52.17086092715231,B,59500000.0,0.3578578365930323,14,0.0,False,
RESIDUAL_TOP_30,A60474307,다대해송,다대동,사하구,714.0,다송초등학교,24.5848233995585,B,135000000.0,0.3447666423198896,6,0.0,False,
RESIDUAL_TOP_30,A60482708,성원,다대동,사하구,546.0,중현초등학교,35.72958057395144,B,446000000.0,0.33085939522855945,8,0.0,False,
