final_review_class,class_rank,apartment_id,apartment_name,gu,legal_dong,household_count,school_core_score,school_premium_pct,school_value_gap_pct,local_fair_total_price,observed_market_price_12m,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,school_local_signal_agreement,model_confidence,local_gap_confidence,gap_confidence,gap_positive_probability,dong_bias_flag,phase154_audit_priority,model_limitation_flag,unmodeled_premium_candidate,unmodeled_discount_candidate
CORE_CANDIDATE,38,A10022365,연산포레서희스타힐스,연제구,연산동,612.0,73.0110927152318,10.25452733524801,25.6813631100681,637772479.290918,520000000.0,22.64855370979193,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,39,A60712204,한신,동래구,사직동,710.0,80.76136865342164,13.9398931241155,64.68696006174879,286810696.0518624,234287863.5907723,22.418076487662677,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,40,A61477302,서면노르웨이아침,부산진구,전포동,512.0,47.90739514348786,-0.8838298478144213,61.18427827017758,65405984.20577101,53967013.88888888,21.196226162213616,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,41,A60976502,부곡늘푸른아파트,금정구,부곡동,885.0,49.04194260485652,-0.4056177952864392,47.418928488184,128392827.47103225,107982102.9082774,18.901951354005583,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,42,A10026902,연산동일동미라주더스타,연제구,연산동,624.0,38.8735651214128,-4.6105659291555074,9.2132883738834,558851898.7194296,470500000.0,18.778299409017983,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,43,A61404203,서면대우디오빌2,부산진구,전포동,751.0,53.49387417218543,1.4932674751597874,54.80354907673871,82946236.30925618,70134969.32515335,18.266589559208903,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,44,A10028028,부산센텀푸르지오,연제구,연산동,560.0,41.013907284768216,-3.7404753950323832,8.010279327192004,518468381.44793487,439010385.84221566,18.099343015150705,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,45,A61479403,쌍용스윗닷홈,부산진구,부암동,718.0,51.35524282560706,0.5765990743589633,23.614564600191656,327544219.4480456,279000000.0,17.399361809335346,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,EXTREME_RESIDUAL,False,True
CORE_CANDIDATE,46,A61203038,SKVIEW,해운대구,좌동,1721.0,62.41092715231788,5.406239769200183,32.09802977224911,293100986.34199506,250578725.1156244,16.96962150587591,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
CORE_CANDIDATE,47,A61990110,이지더원,기장군,정관읍모전리,978.0,62.76445916114791,5.564447803630412,16.480288876010807,276389936.2014787,238000000.0000001,16.13022529473893,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,DOUBLE_POSITIVE,HIGH,HIGH,MEDIUM,1.0,False,LOW,NONE,False,False
