district,legal_dong,apartment_count,transaction_count,fallback_level,model_type,rmse,mae,r2,median_error,bias,school_coefficient,school_effect_direction,model_confidence
사하구,당리동,1,25,1,F,0.07637256119739898,0.06727016821539507,0.11329258048400481,-0.06964759796338882,-0.06335637823212878,0.10137589359511523,POSITIVE,LOW
사하구,신평동,5,250,0,F,0.12202088854095315,0.09601871278778529,0.8942350762181461,-0.07103421449106051,-0.08037542422106853,0.46076860797319014,POSITIVE,HIGH
사하구,장림동,5,277,1,F,0.2918316318908929,0.2678215922587438,0.4563321419676759,-0.1906435431254092,-0.09667472859494787,0.10137589359511523,POSITIVE,HIGH
사하구,하단동,4,343,1,F,0.2020309916259217,0.15621306598478116,0.2019927545246918,-0.09056767074245542,-0.11957369199416865,0.10137589359511523,POSITIVE,MEDIUM
서구,동대신동1가,1,46,1,F,0.09863841732361246,0.08148368802707337,-0.5541233193075559,-0.07427911636470963,-0.08148054722628523,0.10137589359511523,POSITIVE,MEDIUM
서구,동대신동3가,1,40,1,F,0.136440074608313,0.11799245600495904,-1.2827705857887968,-0.09391065010092525,-0.10182255476845184,0.10137589359511523,POSITIVE,MEDIUM
서구,부민동3가,1,36,1,F,0.18591981322314924,0.1625549967705867,-2.058027029005918,-0.15798823445203336,-0.15853272211026923,0.10137589359511523,POSITIVE,MEDIUM
서구,서대신동1가,1,96,1,F,0.10165074904329577,0.08271276995003331,-0.09039581665243057,-0.08396602470531889,-0.07343429560284193,0.10137589359511523,POSITIVE,MEDIUM
서구,서대신동2가,2,162,1,F,0.062344101850212996,0.04697164848759238,0.5954693207728728,0.014244448716155489,0.007884630241256395,0.10137589359511523,POSITIVE,MEDIUM
서구,서대신동3가,2,48,1,F,0.1856930356380662,0.13986724193030708,0.6476899392604882,-0.07884812344825498,-0.11778287196368657,0.10137589359511523,POSITIVE,MEDIUM
서구,암남동,2,209,1,F,0.12295497127751116,0.10688399484278911,0.1113718122764098,-0.06520761025801214,-0.03729246533687359,0.10137589359511523,POSITIVE,MEDIUM
