apartment_id,apartment_name,gu,legal_dong,household_count,elementary_school_name,elementary_demand_score,school_premium_core_score,school_premium_confidence,estimated_school_premium_pct,school_value_gap_pct,residual_method_gap_pct,comparable_method_gap_pct,gap_confidence,data_quality_flag,comparable_count,gap_method_agreement,gap_6m,gap_12m,gap_24m,temporal_sign_pattern,temporal_stability,gap_positive_probability,bootstrap_gap_median,bootstrap_gap_p05,bootstrap_gap_p95,bootstrap_stability,original_sanity_flag,sanity_flag_reason,sanity_severity,candidate_tier,tier_reason,original_phase145_candidate
A10023021,서면비스타동원,부산진구,당감동,806.0,가야초등학교,62.1960816777042,62.1960816777042,B,5.310210775141577,-71.65976450555016,-7.973463266726632,-135.3460657443737,MEDIUM,OK,9.0,STRONG_NEGATIVE,-71.65976450555017,-60.5532295432571,-54.448764634949214,---,STABLE_NEGATIVE,0.0,-56.07900096483501,-104.30728210790096,-29.16882645708085,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023040,양정포레힐즈스위첸1단지,부산진구,양정동,1338.0,양동초등학교,64.81462472406182,64.81462472406182,B,6.486603777673561,-21.54267862406385,-4.497769809913565,-38.587587438214136,HIGH,OK,12.0,STRONG_NEGATIVE,-21.54267862406385,-11.178713074971823,-17.234340637410085,---,STABLE_NEGATIVE,0.028,-11.666115315863035,-29.3017935830876,-4.581685541332658,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023104,사상중흥에스-클래스그랜드센트럴,사상구,덕포동,1572.0,사상초등학교;덕포초등학교,49.122130242825605,49.122130242825605,B,-0.3717315158393908,-27.72694819149032,-27.72694819149032,,LOW,INSUFFICIENT_COMPARABLES,0.0,INSUFFICIENT,-27.72694819149032,-27.769907351222432,-27.610200441433285,---,STABLE_NEGATIVE,0.0,-27.83751558749409,-29.382080889653214,-26.43221488839774,VERY_STABLE_NEGATIVE,False,COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023208,두산위브더제니스하버시티,동구,범일동,2040.0,성남초등학교,63.84878587196467,63.84878587196467,B,6.0511741695158605,-14.381767353086538,-14.381767353086538,,LOW,INSUFFICIENT_COMPARABLES,0.0,INSUFFICIENT,-14.381767353086538,-10.09433171484726,-9.327265925146522,---,STABLE_NEGATIVE,0.0,-10.64459046045365,-16.544508516589303,-6.317099105125512,VERY_STABLE_NEGATIVE,True,SCHOOL_MAPPING_QUALITY;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023283,금호센트럴베이 행복주택 일광,기장군,일광읍,999.0,해빛초등학교,75.63647902869756,75.63647902869756,B,,,,,LOW,RECENT_PRICE_MISSING,,INSUFFICIENT,,,,NANANA,INSUFFICIENT,,,,,,True,LOW_TRANSACTION;COMPARABLE_SHORTAGE,MAJOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023409,이진젠시티개금,부산진구,개금동,736.0,가평초등학교,71.48399558498896,71.48399558498896,B,9.542552216435162,-73.94696785501705,-1.7836115961723973,-146.1103241138617,MEDIUM,OK,7.0,STRONG_NEGATIVE,-73.94696785501705,-63.01804905722284,-58.32374808058961,---,STABLE_NEGATIVE,0.002,-63.232008661031045,-136.1884619664803,-45.16200134091009,VERY_STABLE_NEGATIVE,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023417,더샵동래,동래구,온천동,603.0,온천초등학교,83.8975165562914,83.8975165562914,B,15.465955809686394,7.766837260498594,12.209764063171711,3.323910457825475,MEDIUM,OK,8.0,STRONG_POSITIVE,7.766837260498594,1.6746762508050184,0.5032523477593971,+++,STABLE_POSITIVE,0.57,1.4936575620811068,-9.532506141258551,20.453631884518856,UNCERTAIN,False,NONE,NONE,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023420,남천자이,수영구,남천동,913.0,광남초등학교,53.67406181015453,53.67406181015453,B,1.57088074523708,-18.39643735004117,26.305259814371198,-63.09813451445355,LOW,METHOD_DIRECTION_DISAGREEMENT,8.0,MIXED_POSITIVE_RESIDUAL,-18.396437350041175,-16.389308448749933,-14.106840360455283,---,STABLE_NEGATIVE,0.014,-15.818622572902726,-23.65467057314543,-4.264255145751482,VERY_STABLE_NEGATIVE,False,METHOD_DISAGREEMENT,MINOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023436,데시앙해링턴플레이스파크시티,남구,용호동,1725.0,운산초등학교,41.660761589403975,41.660761589403975,B,-3.475958164250126,-12.094524804033997,15.83101485357571,-40.0200644616437,LOW,METHOD_DIRECTION_DISAGREEMENT,8.0,MIXED_POSITIVE_RESIDUAL,-12.094524804033995,-10.885017915670991,-10.909770711253278,---,STABLE_NEGATIVE,0.162,-10.630699432902937,-14.868712774600327,11.683578084335961,STABLE_NEGATIVE,False,METHOD_DISAGREEMENT,MINOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
A10023440,힐스테이트사하역,사하구,괴정동,1314.0,사남초등학교,72.3003863134658,72.3003863134658,B,9.922602413621108,-23.40379349900545,4.4776134242005,-51.28520042221141,LOW,METHOD_DIRECTION_DISAGREEMENT,8.0,MIXED_POSITIVE_RESIDUAL,-23.403793499005456,-30.829412281075303,-27.99897238243721,---,STABLE_NEGATIVE,0.014,-30.741729690650686,-63.462738256821524,-3.105279369021572,VERY_STABLE_NEGATIVE,False,METHOD_DISAGREEMENT,MINOR,NOT_CANDIDATE,NOT_IN_ORIGINAL_PHASE145_CANDIDATES,False
