apartment_id,apartment_name,household_count,sigungu,legal_dong,elementary_name,elementary_demand_score,elementary_percentile,phase7_score,eligible_middle_count,eligible_middle_schools,eligible_middle_score_mean,eligible_middle_score_max,eligible_middle_score_min,eligible_middle_score_range,has_guaranteed_assignment,guaranteed_middle_name,guaranteed_middle_score,guaranteed_middle_is_top_tier,school_premium_core_score,school_premium_addon_score,final_school_premium_score,school_premium_confidence,data_quality_flag,recent_price_per_m2,unusual_flag,unusual_reason,audit_segment
A61201007,롯데캐슬마린,792.0,해운대구,중동,해운대초등학교,81.58217439293598,93.53680430879713,82.95333333333333,3.0,신도중;해운대여중;해운대중,86.74509803921569,92.52941176470588,77.88235294117646,14.64705882352942,0.0,,,0.0,81.58217439293598,0.0,81.58217439293598,B,OK,8179338.1679694755,False,,ALL
A10022890,레이카운티(5단지),4470.0,연제구,거제동,창신초등학교,80.79547461368652,92.90843806104128,73.86156862745096,3.0,거제여자중;여명중;이사벨중,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,80.79547461368652,0.0,80.79547461368652,B,OK,12252736.444472598,False,,ALL
A10025258,아시아드코오롱하늘채,660.0,연제구,거제동,창신초등학교,80.79547461368652,92.90843806104128,73.86156862745096,3.0,거제여자중;여명중;이사벨중,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,80.79547461368652,0.0,80.79547461368652,B,OK,10523764.196735268,False,,ALL
A10027341,사직KCC스위첸1단지,999.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,80.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,8412546.577858413,False,,ALL
A60712001,사직2차삼정그린코아,560.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,80.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,3708337.890942852,False,,ALL
A60712204,한신,710.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,80.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,2758274.82447342,False,,ALL
A60776402,사직2차쌍용예가,625.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,79.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,5583732.4515468525,False,,ALL
A60782005,삼정그린코아,874.0,동래구,사직동,사직초등학교,80.76136865342164,92.28007181328546,79.18529411764706,2.0,사직여중;사직중,80.19117647058823,80.5,79.88235294117646,0.6176470588235361,0.0,,,0.0,80.76136865342164,0.0,80.76136865342164,B,OK,3096378.4018846666,False,,ALL
A61180503,유림아시아드,1330.0,연제구,거제동,거제초등학교,79.81103752759383,91.74147217235189,73.86156862745099,3.0,거제여중;여명중;이사벨중,75.27450980392156,94.26470588235294,51.8235294117647,42.44117647058824,0.0,,,0.0,79.81103752759383,0.0,79.81103752759383,B,OK,3824852.360698877,False,,ALL
A10025687,명륜자이,671.0,동래구,명륜동,명륜초등학교,78.46087196467991,91.38240574506284,70.88705882352942,4.0,동래중;동해중;부산내성중학교;유락여중,68.85294117647058,78.3529411764706,56.529411764705884,21.82352941176471,0.0,,,0.0,78.46087196467991,0.0,78.46087196467991,B,OK,10888288.555939622,False,,ALL
