apartment_id,apartment_name,legal_dong,issue_type,model_confidence,recommended_action
A61676422,금곡주공4단지,금곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676422,금곡주공4단지,금곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676723,금곡주공7단지,금곡동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61676723,금곡주공7단지,금곡동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61677404,덕천주공2단지,덕천동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61677404,덕천주공2단지,덕천동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61679609,부산만덕3단지 주공아파트,만덕동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61679609,부산만덕3단지 주공아파트,만덕동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61681409,부산도시공사 덕천2지구 아파트,덕천동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61681409,부산도시공사 덕천2지구 아파트,덕천동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61775307,부산모라주공3,모라동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61775307,부산모라주공3,모라동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61776907,금강,학장동,EXTREME_PREDICTION,HIGH,Phase 15.3 confidence filter 또는 별도 검토
A61777410,학장1지구도개공임대,학장동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61777410,학장1지구도개공임대,학장동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61781706,모라주공1단지,모라동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61781706,모라주공1단지,모라동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61823001,지사휴먼시아,지사동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61823001,지사휴먼시아,지사동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61872201,부산신호사랑으로부영1차,신호동,INSUFFICIENT_RECENT_TRANSACTIONS,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61872201,부산신호사랑으로부영1차,신호동,SCHOOL_DATA_LOW_CONFIDENCE,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61872202,부산신호사랑으로부영2차,신호동,SCHOOL_DATA_LOW_CONFIDENCE,MEDIUM,Phase 15.3 confidence filter 또는 별도 검토
A61872203,부산신호사랑으로부영5차,신호동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61872203,부산신호사랑으로부영5차,신호동,FAIR_PRICE_NOT_AVAILABLE,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61872204,부산신호3사랑으로부영3차,신호동,INSUFFICIENT_RECENT_TRANSACTIONS,LOW,Phase 15.3 confidence filter 또는 별도 검토
A61872204,부산신호3사랑으로부영3차,신호동,SCHOOL_DATA_LOW_CONFIDENCE,LOW,Phase 15.3 confidence filter 또는 별도 검토
