class_a_rank,combined_candidate_class,apartment_id,apartment_name,gu,legal_dong,elementary_school_name,local_value_gap_pct,local_gap_interval_status,local_gap_temporal_stability,local_gap_confidence,school_value_gap_pct,gap_confidence,gap_positive_probability,school_local_signal_agreement,strong_dual_positive,model_confidence,fallback_level,extreme_gap_flag,dong_bias_flag
46.0,ROBUST_DUAL_POSITIVE,A61775401,주공4,사상구,모라동,모동초등학교,11.458716192425179,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,13.469843992970889,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
47.0,ROBUST_DUAL_POSITIVE,A61610003,롯데,북구,덕천동,덕양초등학교,11.281198593934283,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,37.23970899525324,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
48.0,ROBUST_DUAL_POSITIVE,A60876301,일신프리빌리지,남구,용호동,용호초등학교,9.864709104706048,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,17.41994564855499,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
49.0,ROBUST_DUAL_POSITIVE,A60782005,삼정그린코아,동래구,사직동,사직초등학교,9.676308086202923,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,51.52297063412474,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
50.0,ROBUST_DUAL_POSITIVE,A61778608,주례청구,사상구,주례동,주감초등학교,8.744613193537077,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,30.19295754862676,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
51.0,ROBUST_DUAL_POSITIVE,A60782701,화목,동래구,안락동,명장초등학교,7.811661713159035,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,35.77953033604092,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
52.0,ROBUST_DUAL_POSITIVE,A61996110,정관동일스위트2차,기장군,정관읍모전리,정원초등학교;신정초등학교,6.244415936067127,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,9.823847704753142,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
53.0,ROBUST_DUAL_POSITIVE,A10026316,동래삼정그린코아포레스트,동래구,온천동,달북초등학교,6.236891656333787,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,6.176190296085699,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
54.0,ROBUST_DUAL_POSITIVE,A60780104,중앙하이츠2,동래구,낙민동,안민초등학교,6.069583809374612,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,18.72676062169515,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
55.0,ROBUST_DUAL_POSITIVE,A10024005,동래3차SKVIEW,동래구,온천동,온천초등학교,5.340466899521368,POTENTIAL_UNDERVALUED_SIGNAL,STABLE_POSITIVE,HIGH,32.954245223919784,MEDIUM,1.0,DOUBLE_POSITIVE,True,HIGH,0,False,False
