n,coefficient,standard_error,t_stat,p_value,ci95_low,ci95_high,r_squared,scenario,excluded_districts,predictor,outcome
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_연제구,연제구,confirmed_middle_quality_median,net_transfer_rate
254,0.0018169611708159822,0.0011535216102683738,1.5751427235015174,0.1165687581736328,-0.00044394118531003056,0.0040778635269419945,0.45194194717335556,LEAVE_ONE_OUT_연제구,연제구,broad_middle_quality_median,adjusted_upper_grade_index
253,0.0003191384887594185,0.00016812800377810294,1.898187580818605,0.05890197494314632,-1.039239864566321e-05,0.0006486693761645003,0.5513537470960166,LEAVE_ONE_OUT_연제구,연제구,broad_middle_quality_median,adjusted_cohort_growth
253,0.0003115173197531189,0.00023397285701050067,1.3314250367902207,0.18434478811944036,-0.00014706947998746237,0.0007701041194937003,0.3559351858551051,LEAVE_ONE_OUT_연제구,연제구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_영도구,영도구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_영도구,영도구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_영도구,영도구,confirmed_middle_quality_median,net_transfer_rate
255,0.0020273000836069045,0.001131204856679801,1.7921599890909525,0.0743882455061908,-0.00018986143548550523,0.004244461602699314,0.4550307833741959,LEAVE_ONE_OUT_영도구,영도구,broad_middle_quality_median,adjusted_upper_grade_index
254,0.00035860124004621257,0.0001672631339070943,2.1439347193231253,0.03306476680496566,3.0765497588307723e-05,0.0006864369825041175,0.5499592692285058,LEAVE_ONE_OUT_영도구,영도구,broad_middle_quality_median,adjusted_cohort_growth
254,0.0003794332229013782,0.0002293654281470527,1.6542738195841475,0.09940691178551571,-7.012301626684508e-05,0.0008289894620696016,0.3653875007601579,LEAVE_ONE_OUT_영도구,영도구,broad_middle_quality_median,net_transfer_rate
31,0.0031539652682795252,0.006184327587193114,0.5099932407867511,0.6149155776561708,-0.00896731680261898,0.01527524733917803,0.31285191649336763,LEAVE_ONE_OUT_중구,중구,confirmed_middle_quality_median,adjusted_upper_grade_index
31,0.0010463679303408524,0.0012147723526920882,0.8613695628007746,0.3979259739667445,-0.0013345858809356405,0.0034273217416173453,0.5869031182857535,LEAVE_ONE_OUT_중구,중구,confirmed_middle_quality_median,adjusted_cohort_growth
31,-0.0012841219059383279,0.001949600309450033,-0.658659059353847,0.5166547953380706,-0.005105338512460393,0.0025370947005837366,0.5361845252171362,LEAVE_ONE_OUT_중구,중구,confirmed_middle_quality_median,net_transfer_rate
264,0.0018742806926219397,0.001107782783674321,1.6919207630265563,0.09193248338182426,-0.00029697356337972944,0.004045534948623608,0.46345311768104214,LEAVE_ONE_OUT_중구,중구,broad_middle_quality_median,adjusted_upper_grade_index
263,0.00032297607872408253,0.0001665215406230948,1.9395453435967618,0.05358758977086722,-3.4061408971833122e-06,0.0006493582983453484,0.5367484522382715,LEAVE_ONE_OUT_중구,중구,broad_middle_quality_median,adjusted_cohort_growth
263,0.00032090174082547855,0.00022668808169184,1.4156092302272543,0.15816507542041536,-0.0001234068992905278,0.0007652103809414848,0.35298517655663153,LEAVE_ONE_OUT_중구,중구,broad_middle_quality_median,net_transfer_rate
29,0.004292892003402858,0.007898061153226003,0.5435374480038566,0.5922255465599623,-0.011187307856920108,0.019773091863725823,0.3060321876486567,LEAVE_ONE_OUT_해운대구,해운대구,confirmed_middle_quality_median,adjusted_upper_grade_index
29,0.0012224436181992803,0.0015521702381206671,0.7875705822573866,0.4393512470076231,-0.0018198100485172272,0.004264697284915788,0.5589053982588812,LEAVE_ONE_OUT_해운대구,해운대구,confirmed_middle_quality_median,adjusted_cohort_growth
29,-0.002638342061768013,0.002446323346327877,-1.0784927780411249,0.29249732823220354,-0.007433135820570652,0.002156451697034626,0.5391492309208235,LEAVE_ONE_OUT_해운대구,해운대구,confirmed_middle_quality_median,net_transfer_rate
239,0.002007271362126087,0.001412767014199802,1.420808485724035,0.1567882213016237,-0.0007617519857055248,0.004776294709957699,0.4536192918312495,LEAVE_ONE_OUT_해운대구,해운대구,broad_middle_quality_median,adjusted_upper_grade_index
238,0.00031937163042441855,0.00020889012821794607,1.5288976705074417,0.12773288422696583,-9.005302088275574e-05,0.0007287962817315928,0.5221972048653813,LEAVE_ONE_OUT_해운대구,해운대구,broad_middle_quality_median,adjusted_cohort_growth
238,0.00019198016626854696,0.0002872868753926399,0.6682524776189807,0.5046761293399296,-0.0003711021095010272,0.0007550624420381211,0.348370578181855,LEAVE_ONE_OUT_해운대구,해운대구,broad_middle_quality_median,net_transfer_rate
29,0.004292892003402858,0.007898061153226003,0.5435374480038566,0.5922255465599623,-0.011187307856920108,0.019773091863725823,0.3060321876486567,EXCLUDE_HAEUNDAE,해운대구,confirmed_middle_quality_median,adjusted_upper_grade_index
29,0.0012224436181992803,0.0015521702381206671,0.7875705822573866,0.4393512470076231,-0.0018198100485172272,0.004264697284915788,0.5589053982588812,EXCLUDE_HAEUNDAE,해운대구,confirmed_middle_quality_median,adjusted_cohort_growth
29,-0.002638342061768013,0.002446323346327877,-1.0784927780411249,0.29249732823220354,-0.007433135820570652,0.002156451697034626,0.5391492309208235,EXCLUDE_HAEUNDAE,해운대구,confirmed_middle_quality_median,net_transfer_rate
239,0.002007271362126087,0.001412767014199802,1.420808485724035,0.1567882213016237,-0.0007617519857055248,0.004776294709957699,0.4536192918312495,EXCLUDE_HAEUNDAE,해운대구,broad_middle_quality_median,adjusted_upper_grade_index
