apartment,legal_dong,local_market,issue_type,issue_detail,recommended_action
스위트팰리스,명지동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
명지금강펜테리움센트럴파크3차,명지동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
대신푸르지오1차,서대신동1가,LM071,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동래동일스위트,명장동,LM033,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
개금역금강펜테리움더스퀘어아파트,개금동,LM039,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상사하2차,구평동,LM062,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
오션브릿지,범일동,LM027,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
센텀비스타동원,민락동,LM078,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
래미안장전,장전동,LM007,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
정관 엘에이치 7단지,정관읍,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
동부산관광단지삼정그린코아더베스트,기장읍내리,LM010,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
주례경동리인,주례동,LM058,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
지사과학삼정그린코아,지사동,LM003,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
서면DS·협성엘리시안아파트,범천동,LM042,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
사하뷰웰,신평동,LM065,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
e편한세상사하,구평동,LM062,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
구서SKVIEW1단지,구서동,LM005,LOW_SAMPLE,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
전포LH아파트,전포동,,INSUFFICIENT_CLUSTER_FEATURES,규칙 기반 품질 플래그,Phase 15.2 비교대상에서 제외 또는 별도 검토
