internal_complex_id,kapt_code,complex_name,households,address,road_address,sigungu,legal_dong,admin_dong,latitude,longitude,raw_road_address,raw_lot_address,normalized_road_address,normalized_lot_address,address_evidence_source,address_source_document,upstream_match_method,lawd_cd,jibun_evidence,road_name_evidence,road_number_evidence,missing_reason
TRADE_EE5E065D4FC7,,수안동미소지음아파트,,,,동래구,수안동,,,,부산광역시 동래구 명륜로98번길 67-4,부산광역시 동래구 수안동 344,부산광역시 동래구 명륜로98번길 67-4,부산광역시 동래구 수안동 344,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,344,명륜로98번길,67-4,KAPT_UNMATCHED
TRADE_EE9068F194AF,,삼주빌리지,,,,해운대구,중동,,,,부산광역시 해운대구 좌동순환로446번길 56,부산광역시 해운대구 중동 784-14,부산광역시 해운대구 좌동순환로446번길 56,부산광역시 해운대구 중동 784-14,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26350,784-14,좌동순환로446번길,56,KAPT_UNMATCHED
TRADE_EEC5650CA344,,금강스위트,,,,금정구,장전동,,,,부산광역시 금정구 금샘로17번길 7,부산광역시 금정구 장전동 505-83,부산광역시 금정구 금샘로17번길 7,부산광역시 금정구 장전동 505-83,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26410,505-83,금샘로17번길,7,KAPT_UNMATCHED
TRADE_EEDB6AE2799C,,봉래,,,,영도구,봉래동3가,,,,부산광역시 영도구 영봉길 182,부산광역시 영도구 봉래동3가 62-1,부산광역시 영도구 영봉길 182,부산광역시 영도구 봉래동3가 62-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26200,62-1,영봉길,182,KAPT_UNMATCHED
TRADE_EEDD993DA835,,에코하임기장,,,,기장군,기장읍대라리,,,,부산광역시 기장군 차성남로89번길 4,부산광역시 기장군 기장읍대라리 94-8,부산광역시 기장군 차성남로89번길 4,부산광역시 기장군 기장읍대라리 94-8,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26710,94-8,차성남로89번길,4,KAPT_UNMATCHED
TRADE_EEEB18C7510C,,디어하임B,,,,남구,대연동,,,,부산광역시 남구 진남로96번가길 18,부산광역시 남구 대연동 1800-40,부산광역시 남구 진남로96번가길 18,부산광역시 남구 대연동 1800-40,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26290,1800-40,진남로96번가길,18,KAPT_UNMATCHED
TRADE_EEF9948DF779,,남평파크뷰,,,,기장군,기장읍대라리,,,,부산광역시 기장군 차성남로89번길 5-7,부산광역시 기장군 기장읍대라리 97-6,부산광역시 기장군 차성남로89번길 5-7,부산광역시 기장군 기장읍대라리 97-6,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26710,97-6,차성남로89번길,5-7,KAPT_UNMATCHED
TRADE_EF12FDDDDA4C,,원정프린스,,,,수영구,망미동,,,,부산광역시 수영구 구락로 151,부산광역시 수영구 망미동 190-1,부산광역시 수영구 구락로 151,부산광역시 수영구 망미동 190-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26500,190-1,구락로,151,KAPT_UNMATCHED
TRADE_EF2D04A54190,,모라새상가,,,,사상구,모라동,,,,부산광역시 사상구 모라로51번길 42,부산광역시 사상구 모라동 647-7,부산광역시 사상구 모라로51번길 42,부산광역시 사상구 모라동 647-7,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26530,647-7,모라로51번길,42,KAPT_UNMATCHED
TRADE_EF39407F1462,,산호맨션,,,,수영구,망미동,,,,부산광역시 수영구 연수로249번길 20,부산광역시 수영구 망미동 834-3,부산광역시 수영구 연수로249번길 20,부산광역시 수영구 망미동 834-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26500,834-3,연수로249번길,20,KAPT_UNMATCHED
TRADE_EF486EC19180,,태성맨션,,,,동래구,안락동,,,,부산광역시 동래구 온천천로431번길 28,부산광역시 동래구 안락동 632-4,부산광역시 동래구 온천천로431번길 28,부산광역시 동래구 안락동 632-4,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26260,632-4,온천천로431번길,28,KAPT_UNMATCHED
TRADE_EF5148799CEC,,조일센토빌,,,,사하구,하단동,,,,부산광역시 사하구 낙동남로1367번길 7,부산광역시 사하구 하단동 521-8,부산광역시 사하구 낙동남로1367번길 7,부산광역시 사하구 하단동 521-8,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26380,521-8,낙동남로1367번길,7,KAPT_UNMATCHED
TRADE_EF582FCFC701,,우호스카이빌,,,,부산진구,양정동,,,,부산광역시 부산진구 거제대로 16-7,부산광역시 부산진구 양정동 401-8,부산광역시 부산진구 거제대로 16-7,부산광역시 부산진구 양정동 401-8,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26230,401-8,거제대로,16-7,KAPT_UNMATCHED
TRADE_EF6549D1791D,,문화,,,,서구,남부민동,,,,부산광역시 서구 천마로187번길 20,부산광역시 서구 남부민동 30-1,부산광역시 서구 천마로187번길 20,부산광역시 서구 남부민동 30-1,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26140,30-1,천마로187번길,20,KAPT_UNMATCHED
TRADE_EF65EFD08190,,이진빌라,,,,수영구,민락동,,,,부산광역시 수영구 민락로6번길 49,부산광역시 수영구 민락동 36-3,부산광역시 수영구 민락로6번길 49,부산광역시 수영구 민락동 36-3,OFFICIAL_TRANSACTION_API,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_apartment_analysis\data\interim\trade_matched.parquet,unmatched,26500,36-3,민락로6번길,49,KAPT_UNMATCHED
