internal_complex_id,kapt_code,complex_name,households,sigungu,legal_dong,is_500plus,manual_review,elementary_school_ids,elementary_school_names,elementary_school_count,nearest_elementary_distance_m,mean_elementary_feeder_score,best_elementary_feeder_score,worst_elementary_feeder_score,middle_school_count,best_middle_score,mean_middle_score,worst_middle_score,feeder_exclusivity,assignment_data_quality,elementary_accessibility_score,shared_catchment,school_zone_score,score_quality_focused,score_stability_focused,school_score_status,school_score_quality,busan_school_rank,school_zone_percentile,school_zone_grade
A10021046,A10021046,송도탑스빌,125.0,서구,암남동,False,False,['S020001471'],['송도초등학교'],1,280.9637491366692,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
TRADE_8382453A37E8,,송도혜성주상복합빌딩,,서구,암남동,,False,['S020001471'],['송도초등학교'],1,144.16778848507104,52.43500000000001,52.43500000000001,52.43500000000001,5,76.79411764705881,54.017647058823535,34.82352941176471,0.36,85.0,100.0,False,60.44800000000001,56.44150000000001,57.81840000000001,SCORED,HIGH,337.0,62.33183856502242,C
A60680909,A60680909,국제마마뉴비치타운,522.0,영도구,동삼동,True,False,['S020001484'],['중리초등학교'],1,230.6841080130411,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
TRADE_2BA5A7E3C3C0,,도시,,영도구,동삼동,,False,['S020001469'],['상리초등학교'],1,273.86729212054445,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60670102,A60670102,도시공사동삼1지구영구임대아파트,400.0,영도구,동삼동,False,False,['S020001483'],['절영초등학교'],1,104.16110948433936,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60670101,A60670101,도시공사동삼2지구영구임대아파트,1120.0,영도구,동삼동,True,False,['S020001463'],['봉삼초등학교'],1,142.18342303067817,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
TRADE_E12D0B9A9556,,동산파크타운,,영도구,동삼동,,False,['S020001484'],['중리초등학교'],1,280.48199166091854,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60608303,A60608303,동삼그린힐,2088.0,영도구,동삼동,True,False,['S020001469'],['상리초등학교'],1,266.9699141907637,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60677104,A60677104,동삼동한진로즈힐,270.0,영도구,동삼동,False,False,['S020001484'],['중리초등학교'],1,108.47005805041258,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60680907,A60680907,동삼절영3,360.0,영도구,동삼동,False,False,['S020001484'],['중리초등학교'],1,111.32331690918895,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60608106,A60608106,반도보라비치타운,320.0,영도구,동삼동,False,False,['S020001483'],['절영초등학교'],1,280.46682481703067,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
A60608001,A60608001,벽산비치,414.0,영도구,동삼동,False,False,['S020001484'],['중리초등학교'],1,160.8775910654451,57.70441176470588,57.70441176470588,57.70441176470588,3,76.79411764705881,59.14705882352941,45.05882352941177,0.39999999999999997,84.99999999999999,100.0,False,64.6635294117647,61.1839705882353,61.83082352941176,SCORED,HIGH,84.0,90.69506726457399,A
TRADE_41390F2E8FBF,,목연정M팰리스,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,267.29033625779465,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,100.0,False,58.811529411764724,54.60047058823531,56.50922352941177,SCORED,HIGH,399.0,55.381165919282516,C
TRADE_3BAB9A0534E1,,금성,,중구,부평동2가,,False,['S020001492'],['토성초등학교'],1,369.8961160760366,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_49B3C63B4E25,,대근하버빌30차,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,434.80535031514796,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_E2FA8C561F7B,,대근하버빌타운,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,427.34533210935405,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_8D698B8EE6A7,,로얄스카이캐슬,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,321.37438706998586,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
TRADE_B324C5164FA1,,목연정빌라,,중구,부평동4가,,False,['S020001492'],['토성초등학교'],1,399.3635649452512,50.3894117647059,50.3894117647059,50.3894117647059,5,77.23529411764707,50.87058823529412,34.82352941176471,0.36,85.0,90.0,False,57.811529411764724,54.10047058823531,55.50922352941177,SCORED,HIGH,506.0,43.38565022421525,C
