kapt_code,complex_name,sigungu,dong,households,eligible_households,confirmed_households,priced_households,valuation_scope,market_cap_krw,partial_cap_krw,per_household_krw,status,release_status,reason,rank,district_rank,adjusted_market_cap_krw,estimated_households,adjusted_status,adjusted_scope,adjustment_source
A60476206,가락타운2.3단지아파트,사하구,하단동,2980.0,2980.0,2980.0,2980.0,전체 분양 주거 세대,877830000000.0,877830000000.0,294573825.5033557,산정 완료,VERIFIED_MASTER,,43.0,2.0,877830000000.0,0,산정 완료,전체 분양 주거 세대,
A10026094,대연sk뷰힐스아파트,남구,대연동,994.0,994.0,994.0,994.0,전체 분양 주거 세대,870230000000.0,870230000000.0,875482897.3843058,산정 완료,VERIFIED_MASTER,,44.0,5.0,870230000000.0,0,산정 완료,전체 분양 주거 세대,
A10025776,더 힐 시그니처,강서구,명지동,1210.0,1210.0,1210.0,1210.0,전체 분양 주거 세대,866550000000.0,866550000000.0,716157024.7933885,산정 완료,VERIFIED_MASTER,,45.0,3.0,866550000000.0,0,산정 완료,전체 분양 주거 세대,
A61175110,망미주공아파트,연제구,연산동,2038.0,2038.0,2038.0,2038.0,전체 분양 주거 세대,859455000000.0,859455000000.0,421714916.58488715,산정 완료,VERIFIED_MASTER,,46.0,2.0,859455000000.0,0,산정 완료,전체 분양 주거 세대,
A60939002,금정산sk뷰,금정구,장전동,1306.0,1306.0,1306.0,1306.0,전체 분양 주거 세대,844510000000.0,844510000000.0,646638591.1179173,산정 완료,VERIFIED_MASTER,,47.0,3.0,844510000000.0,0,산정 완료,전체 분양 주거 세대,
A10025994,연제 롯데캐슬앤데시앙,연제구,연산동,1168.0,1168.0,1168.0,1168.0,전체 분양 주거 세대,841367500000.0,841367500000.0,720348886.9863014,산정 완료,VERIFIED_MASTER,,48.0,3.0,841367500000.0,0,산정 완료,전체 분양 주거 세대,
A61176612,거제2차현대홈타운아파트,연제구,거제동,1110.0,1110.0,1110.0,1110.0,전체 분양 주거 세대,838610000000.0,838610000000.0,755504504.5045046,산정 완료,VERIFIED_MASTER,,49.0,4.0,838610000000.0,0,산정 완료,전체 분양 주거 세대,
A60939003,벽산블루밍장전디자인시티,금정구,장전동,1539.0,1539.0,1539.0,1539.0,전체 분양 주거 세대,838380000000.0,838380000000.0,544756335.2826511,산정 완료,VERIFIED_MASTER,,50.0,4.0,838380000000.0,0,산정 완료,전체 분양 주거 세대,
A61177214,거제동월드메르디앙,연제구,거제동,1156.0,1156.0,1156.0,1156.0,전체 분양 주거 세대,831485000000.0,831485000000.0,719277681.6608996,산정 완료,VERIFIED_MASTER,,51.0,5.0,831485000000.0,0,산정 완료,전체 분양 주거 세대,
A61286403,센텀이편한세상,해운대구,재송동,1190.0,1190.0,1190.0,1190.0,전체 분양 주거 세대,830185000000.0,830185000000.0,697634453.7815126,산정 완료,VERIFIED_MASTER,,52.0,14.0,830185000000.0,0,산정 완료,전체 분양 주거 세대,
A61203037,대림1차아파트,해운대구,좌동,1424.0,1424.0,1424.0,1424.0,전체 분양 주거 세대,800410000000.0,800410000000.0,562085674.1573033,산정 완료,VERIFIED_MASTER,,53.0,15.0,800410000000.0,0,산정 완료,전체 분양 주거 세대,
