kapt_code,kapt_name,audited_status,in_master,in_rental,in_pending
A61203012,해운대영남아파트,MASTER_INCLUDED,True,False,False
A61203013,두산2차아파트,MASTER_INCLUDED,True,False,False
A61203014,경남아너스빌,MASTER_INCLUDED,True,False,False
A61203015,해운대한일아파트,MASTER_INCLUDED,True,False,False
A61203016,해운대동신아파트,MASTER_INCLUDED,True,False,False
A61203017,해운대동부아파트,MASTER_INCLUDED,True,False,False
A61203018,해운대대림2차아파트,MASTER_INCLUDED,True,False,False
A61203019,해운대삼성아파트,MASTER_INCLUDED,True,False,False
A61203020,해운대LIG건영아파트,MASTER_INCLUDED,True,False,False
A61203021,해운대센트럴파크아파트,MASTER_INCLUDED,True,False,False
A61203022,해운대롯데3차아파트,MASTER_INCLUDED,True,False,False
A61203023,해운대롯데4차아파트,MASTER_INCLUDED,True,False,False
A61203024,대우1차아파트,MASTER_INCLUDED,True,False,False
A61203025,해운대벽산1차아파트,MASTER_INCLUDED,True,False,False
A61203026,해운대 화목타운,MASTER_INCLUDED,True,False,False
A61203027,LH뜨란채아파트,MASTER_INCLUDED,True,False,False
A61203028,코오롱아파트,MASTER_INCLUDED,True,False,False
A61203029,해운대건영2차아파트,MASTER_INCLUDED,True,False,False
A61203031,해운대상록아파트,MASTER_INCLUDED,True,False,False
A61203032,해운대대우2차아파트,MASTER_INCLUDED,True,False,False
A61203033,해운대벽산2차아파트,MASTER_INCLUDED,True,False,False
A61203034,해운대대동타운아파트,MASTER_INCLUDED,True,False,False
A61203035,경남선경아파트,MASTER_INCLUDED,True,False,False
A61203036,두산1차,MASTER_INCLUDED,True,False,False
A61203037,대림1차아파트,MASTER_INCLUDED,True,False,False
A61203038,SKVIEW아파트,MASTER_INCLUDED,True,False,False
A61203039,해운대LG아파트,MASTER_INCLUDED,True,False,False
A61275302,해운대현대,MASTER_INCLUDED,True,False,False
A61204001,송정1단지주공아파트,EXCLUDED_RENTAL_ONLY,False,True,False
A61204002,부산송정2휴먼시아,EXCLUDED_RENTAL_ONLY,False,True,False
A10023440,힐스테이트사하역 아파트,MASTER_INCLUDED,True,False,False
A10023969,사하한신더휴아파트,MASTER_INCLUDED,True,False,False
A10024383,사하역비스타동원,MASTER_INCLUDED,True,False,False
A60471810,당리푸르지오,MASTER_INCLUDED,True,False,False
A60402003,하단 SK VIEW 아파트,MASTER_INCLUDED,True,False,False
A60474905,한신혜성아파트,MASTER_INCLUDED,True,False,False
A60476101,가락타운1단지아파트,MASTER_INCLUDED,True,False,False
A60476206,가락타운2.3단지아파트,MASTER_INCLUDED,True,False,False
A10023928,사하코오롱하늘채아파트,MASTER_INCLUDED,True,False,False
A10027236,사하뷰웰아파트,MASTER_INCLUDED,True,False,False
A60403002,신평럭키무지개타운아파트,MASTER_INCLUDED,True,False,False
A60475903,신익강변타운아파트,MASTER_INCLUDED,True,False,False
A60476805,신평현대아파트,MASTER_INCLUDED,True,False,False
A60483404,신평한신아파트,MASTER_INCLUDED,True,False,False
A10022280,두산위브더센트럴사하,MASTER_INCLUDED,True,False,False
A60474002,장림동원로얄듀크,MASTER_INCLUDED,True,False,False
A60474516,장림신세대지큐빌아파트,MASTER_INCLUDED,True,False,False
A60477315,장림현대아파트,MASTER_INCLUDED,True,False,False
A60484514,장림협성르네상스타운,MASTER_INCLUDED,True,False,False
A60405001,다대롯데캐슬몰운대,MASTER_INCLUDED,True,False,False
A60405002,다대롯데캐슬블루,MASTER_INCLUDED,True,False,False
A60472901,다대푸르지오,MASTER_INCLUDED,True,False,False
A60474307,다대해송아파트,MASTER_INCLUDED,True,False,False
A60475305,신다대아파트,MASTER_INCLUDED,True,False,False
A60475309,3지구도개공아파트,EXCLUDED_RENTAL_ONLY,False,True,False
