kapt_code,kapt_name,kapt_households,master_households,difference,audit_result,detailed_cause
A60778608,사직쌍용예가,2947,2947,0,PASS,K-apt 총세대수와 100% exact 일치
A60782005,사직삼정그린코아아파트,874,874,0,PASS,K-apt 총세대수와 100% exact 일치
A10022847,더비치푸르지오써밋,1384,1384,0,PASS,K-apt 총세대수와 100% exact 일치
A10022999,대연푸르지오클라센트,1057,998,-59,WARNING,일반 분양단지 세대수 차이
A10025593,대연자이 아파트,965,950,-15,WARNING,일반 분양단지 세대수 차이
A10026094,대연sk뷰힐스아파트,994,994,0,PASS,K-apt 총세대수와 100% exact 일치
A10026184,대연파크푸르지오아파트,1422,1422,0,PASS,K-apt 총세대수와 100% exact 일치
A10026452,대연롯데캐슬레전드,3149,3149,0,PASS,K-apt 총세대수와 100% exact 일치
A10028145,대연롯데캐슬,564,514,-50,PASS,혼합단지 분양(sale_apartment) 세대수 분리 적재
A60802001,대연힐스테이트푸르지오,2304,2304,0,PASS,K-apt 총세대수와 100% exact 일치
A60874408,대연동푸르지오,678,678,0,PASS,K-apt 총세대수와 100% exact 일치
A60875509,대우그린아파트,691,691,0,PASS,K-apt 총세대수와 100% exact 일치
A60877710,삼익그린타운,725,725,0,PASS,K-apt 총세대수와 100% exact 일치
A60877907,대연청구아파트,604,604,0,PASS,K-apt 총세대수와 100% exact 일치
A10023436,데시앙해링턴플레이스파크시티,1725,1725,0,PASS,K-apt 총세대수와 100% exact 일치
A10026391,W 아파트,1488,1488,0,PASS,K-apt 총세대수와 100% exact 일치
A60809002,GS하이츠자이,1149,1149,0,PASS,K-apt 총세대수와 100% exact 일치
A60809003,오륙도SK VIEW,3000,3000,0,PASS,K-apt 총세대수와 100% exact 일치
A60876301,용호일신프리빌리지,518,518,0,PASS,K-apt 총세대수와 100% exact 일치
A60876402,현대비치아파트,648,648,0,PASS,K-apt 총세대수와 100% exact 일치
A60883203,일신-님Ⅱ아파트,710,710,0,PASS,K-apt 총세대수와 100% exact 일치
A61202008,쌍용예가,773,773,0,PASS,K-apt 총세대수와 100% exact 일치
A60871104,용당현대I-PARK,748,748,0,PASS,K-apt 총세대수와 100% exact 일치
A60883003,신대연코오롱하늘채아파트,712,712,0,PASS,K-apt 총세대수와 100% exact 일치
A10020004,롯데캐슬 인피니엘,715,715,0,PASS,K-apt 총세대수와 100% exact 일치
A10023533,오션파라곤,662,662,0,PASS,K-apt 총세대수와 100% exact 일치
A10023872,대연양우내안애 아파트,560,560,0,PASS,K-apt 총세대수와 100% exact 일치
A10024704,문현경동리인,600,600,0,PASS,K-apt 총세대수와 100% exact 일치
A10025508,문현베스티움아파트,743,743,0,PASS,K-apt 총세대수와 100% exact 일치
A60804003,문현동삼성아파트,916,916,0,PASS,K-apt 총세대수와 100% exact 일치
A60872101,대림문현시티프라자,521,521,0,PASS,K-apt 총세대수와 100% exact 일치
A60879704,문현현대아파트,693,693,0,PASS,K-apt 총세대수와 100% exact 일치
A10020289,두산위브더제니스 오션시티 ,3048,3048,0,PASS,K-apt 총세대수와 100% exact 일치
A60877107,우암일신보라,661,661,0,PASS,K-apt 총세대수와 100% exact 일치
A60875305,감만현대1차아파트,885,885,0,PASS,K-apt 총세대수와 100% exact 일치
A60880104,감만동일스위트아파트,548,548,0,PASS,K-apt 총세대수와 100% exact 일치
A10027989,신화명리버뷰자이아파트,792,717,-75,WARNING,일반 분양단지 세대수 차이
A10028138,동원역삼정그린코아,529,526,-3,PASS_WITH_WARNING,상가/부대시설 분리 및 대장 미세차이 (0.3~0.5%)
A61674912,화명뜨란채,981,981,0,PASS,K-apt 총세대수와 100% exact 일치
A61676006,금곡한솔아파트,532,532,0,PASS,K-apt 총세대수와 100% exact 일치
A61676316,금곡주공3단지아파트,1484,1484,0,PASS,K-apt 총세대수와 100% exact 일치
A61676509,금곡주공5단지아파트,713,713,0,PASS,K-apt 총세대수와 100% exact 일치
A61676605,금곡주공6단지아파트,504,504,0,PASS,K-apt 총세대수와 100% exact 일치
A61676814,금곡9단지주공,1366,1366,0,PASS,K-apt 총세대수와 100% exact 일치
A61677013,화명한일유앤아이,1026,1026,0,PASS,K-apt 총세대수와 100% exact 일치
A61681107,금곡화목타운,576,576,0,PASS,K-apt 총세대수와 100% exact 일치
A61681108,금곡조성협진아파트,576,576,0,PASS,K-apt 총세대수와 100% exact 일치
A61684110,화명리버빌2차아파트,722,722,0,PASS,K-apt 총세대수와 100% exact 일치
A10024341,화명푸르지오헤리센트,886,871,-15,WARNING,일반 분양단지 세대수 차이
A10027790,e편한세상 화명힐스 아파트,800,800,0,PASS,K-apt 총세대수와 100% exact 일치
