kapt_code,mapping_category,in_legacy_mapping_csv
A61776811,HAS_KB_MAPPING,True
A61990108,HAS_KB_MAPPING,True
A61970112,HAS_KB_MAPPING,True
A61970210,HAS_KB_MAPPING,True
A10026865,HAS_KB_MAPPING,True
A10028142,HAS_KB_MAPPING,True
A61996111,HAS_KB_MAPPING,True
A61996102,HAS_KB_MAPPING,True
A61996108,HAS_KB_MAPPING,True
A61996109,HAS_KB_MAPPING,True
A61996110,HAS_KB_MAPPING,True
A61996114,HAS_KB_MAPPING,True
A61996204,HAS_KB_MAPPING,True
A61996005,HAS_KB_MAPPING,True
A61996107,HAS_KB_MAPPING,True
A10024606,HAS_KB_MAPPING,True
A10024909,HAS_KB_MAPPING,True
A10024919,HAS_KB_MAPPING,True
A10024933,HAS_KB_MAPPING,True
A10025042,HAS_KB_MAPPING,True
A10024476,HAS_KB_MAPPING,True
A61404203,HAS_KB_MAPPING,True
A10026391,HAS_KB_MAPPING,True
A61609206,HAS_KB_MAPPING,True
A61279804,HAS_KB_MAPPING,True
A61274213,HAS_KB_MAPPING,True
A10028117,HAS_KB_MAPPING,True
A61777409,HAS_KB_MAPPING,True
A61996115,HAS_KB_MAPPING,True
A10024535,HAS_KB_MAPPING,True
A10028182,HAS_KB_MAPPING,True
A61478901,HAS_KB_MAPPING,True
A10025593,HAS_KB_MAPPING,True
A10027989,HAS_KB_MAPPING,True
A60471810,HAS_KB_MAPPING,True
A10027159,HAS_KB_MAPPING,True
A10020002,HAS_KB_MAPPING,True
A10023104,HAS_KB_MAPPING,True
A60607004,HAS_KB_MAPPING,True
A61475403,HAS_KB_MAPPING,True
A61479104,HAS_KB_MAPPING,True
A61403001,HAS_KB_MAPPING,True
A61402003,HAS_KB_MAPPING,True
A61409003,HAS_KB_MAPPING,True
A60777205,HAS_KB_MAPPING,True
A60701003,HAS_KB_MAPPING,True
A10024982,HAS_KB_MAPPING,True
A60782005,HAS_KB_MAPPING,True
A60809003,HAS_KB_MAPPING,True
A60883203,HAS_KB_MAPPING,True
A60871104,HAS_KB_MAPPING,True
A61676814,HAS_KB_MAPPING,True
A61681108,HAS_KB_MAPPING,True
A61612011,HAS_KB_MAPPING,True
A61612013,HAS_KB_MAPPING,True
A61612016,HAS_KB_MAPPING,True
A61673304,HAS_KB_MAPPING,True
A61679208,HAS_KB_MAPPING,True
A61685214,HAS_KB_MAPPING,True
A61680705,HAS_KB_MAPPING,True
A61273507,HAS_KB_MAPPING,True
A61282705,HAS_KB_MAPPING,True
A10025181,HAS_KB_MAPPING,True
A61203022,HAS_KB_MAPPING,True
A61203025,HAS_KB_MAPPING,True
A61203029,HAS_KB_MAPPING,True
A61203033,HAS_KB_MAPPING,True
A61203034,HAS_KB_MAPPING,True
A60402003,HAS_KB_MAPPING,True
A60474002,HAS_KB_MAPPING,True
A60474516,HAS_KB_MAPPING,True
A60405001,HAS_KB_MAPPING,True
A10027306,HAS_KB_MAPPING,True
A10027325,HAS_KB_MAPPING,True
A10020264,HAS_KB_MAPPING,True
A10022696,HAS_KB_MAPPING,True
A10025776,HAS_KB_MAPPING,True
A10027953,HAS_KB_MAPPING,True
A61881402,HAS_KB_MAPPING,True
A61176709,HAS_KB_MAPPING,True
A10026902,HAS_KB_MAPPING,True
A10027085,HAS_KB_MAPPING,True
A61313002,HAS_KB_MAPPING,True
A61377204,HAS_KB_MAPPING,True
A61381805,HAS_KB_MAPPING,True
A61381903,HAS_KB_MAPPING,True
A61775401,HAS_KB_MAPPING,True
A61776003,HAS_KB_MAPPING,True
A61783202,HAS_KB_MAPPING,True
A61783203,HAS_KB_MAPPING,True
A61783402,HAS_KB_MAPPING,True
A61778507,HAS_KB_MAPPING,True
A61996303,HAS_KB_MAPPING,True
A61996306,HAS_KB_MAPPING,True
A10024875,HAS_KB_MAPPING,True
A10026034,HAS_KB_MAPPING,True
A10023704,HAS_KB_MAPPING,True
A10024303,HAS_KB_MAPPING,True
A10023040,HAS_KB_MAPPING,True
A10023616,HAS_KB_MAPPING,True
A10022574,HAS_KB_MAPPING,True
A10024953,HAS_KB_MAPPING,True
A10022844,HAS_KB_MAPPING,True
A10023627,HAS_KB_MAPPING,True
A10025342,HAS_KB_MAPPING,True
A10022002,HAS_KB_MAPPING,True
A10027054,HAS_KB_MAPPING,True
A10022999,HAS_KB_MAPPING,True
A10020289,HAS_KB_MAPPING,True
A10024341,HAS_KB_MAPPING,True
A10027790,HAS_KB_MAPPING,True
A10022405,HAS_KB_MAPPING,True
A10026484,HAS_KB_MAPPING,True
A61202011,HAS_KB_MAPPING,True
A61288603,HAS_KB_MAPPING,True
A10023969,HAS_KB_MAPPING,True
A10023526,HAS_KB_MAPPING,True
A61377106,HAS_KB_MAPPING,True
A10023607,HAS_KB_MAPPING,True
A10023571,HAS_KB_MAPPING,True
A10023692,HAS_KB_MAPPING,True
A10024328,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10023963,HAS_KB_MAPPING,True
A10023625,HAS_KB_MAPPING,True
A10024602,HAS_KB_MAPPING,True
A61481111,HAS_KB_MAPPING,True
A60802001,HAS_KB_MAPPING,True
A10024704,HAS_KB_MAPPING,True
A10024249,HAS_KB_MAPPING,True
A10023912,HAS_KB_MAPPING,True
A60608002,HAS_KB_MAPPING,True
A10028138,HAS_KB_MAPPING,True
A60472901,HAS_KB_MAPPING,True
A10020378,HAS_KB_MAPPING,True
A10027503,HAS_KB_MAPPING,True
A10024005,KB_DISCOVERY_MAPPING,False
A60879704,KB_DISCOVERY_MAPPING,False
A61282215,KB_DISCOVERY_MAPPING,False
A61203018,KB_DISCOVERY_MAPPING,False
A60482013,KB_DISCOVERY_MAPPING,False
A61776104,KB_DISCOVERY_MAPPING,False
A61990514,KB_DISCOVERY_MAPPING,False
A61970311,KB_DISCOVERY_MAPPING,False
A61990609,KB_DISCOVERY_MAPPING,False
A10028081,KB_DISCOVERY_MAPPING,False
A61990110,KB_DISCOVERY_MAPPING,False
A61996106,KB_DISCOVERY_MAPPING,False
A10022267,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10020870,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10027690,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10023975,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10028145,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10024318,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10025923,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A61872201,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A61872202,OFFICIAL_FALLBACK_OR_DIRECT_API,False
A10022890,OFFICIAL_FALLBACK_OR_DIRECT_API,False
