kb_complex_id,kb_type_id,kb_sale_general,has_price_inversion
30004,163658,71500.0,False
30004,178938,78500.0,False
30004,189987,71500.0,False
30004,198052,78500.0,False
30004,204091,78500.0,False
30004,208680,78500.0,False
30004,212223,86500.0,False
30004,214982,73000.0,False
30004,217198,101000.0,False
30004,219030,101000.0,False
13192,12981,16900.0,False
13192,61005,17700.0,False
13192,101773,26500.0,False
13192,133238,58000.0,False
13192,156462,68500.0,False
13192,173334,88500.0,False
13192,185683,96000.0,False
13192,194691,105000.0,False
13192,201486,106000.0,False
13192,206644,,False
13192,210605,,False
13192,213684,,False
13192,216136,,False
5324,5175,16000.0,False
5324,54140,22000.0,False
5324,96864,34000.0,False
5328,1227087,17500.0,False
5328,5179,17500.0,False
5328,54144,24000.0,False
5328,96868,35000.0,False
5328,130089,42000.0,False
5329,5180,16500.0,False
5329,154586,16500.0,False
5329,172106,24000.0,False
5329,54145,24000.0,False
5329,96869,40000.0,False
5329,130090,47000.0,False
47451,1471450,,False
47451,46166,38250.0,False
47451,90564,38250.0,False
47451,125578,49500.0,False
47451,151454,49500.0,False
47451,169999,49500.0,False
47451,183409,57500.0,False
47451,193108,57500.0,False
47451,200334,57500.0,False
15459,15206,82500.0,False
15459,103351,86000.0,False
15459,63010,86000.0,False
15459,134411,103500.0,False
15459,157267,131000.0,False
15459,173886,153000.0,False
5385,5236,23500.0,False
5385,54196,30000.0,False
5385,130126,30000.0,False
5385,96913,40000.0,False
5384,5235,23750.0,False
5384,54195,27500.0,False
5384,96912,31750.0,False
5384,130125,36750.0,False
25692,71496,28000.0,False
25692,110424,28000.0,False
25692,24621,27750.0,False
25692,161787,37750.0,False
25692,140085,37750.0,False
25692,177468,40000.0,False
25692,197203,40000.0,False
25692,188889,40000.0,False
14864,14624,34000.0,False
14864,62474,34000.0,False
14864,102916,46000.0,False
14864,134084,48000.0,False
961704,1524195,,False
961704,1524196,,False
961704,1524197,,False
961704,1524198,,False
961704,1524199,,False
45612,44353,35750.0,False
45612,88956,35750.0,False
45612,124319,40500.0,False
45612,150505,40500.0,False
45612,169322,48000.0,False
45612,182910,48000.0,False
45612,192759,53000.0,False
45612,200088,53000.0,False
45612,205627,53000.0,False
45612,209833,53000.0,False
43588,42348,54750.0,False
43588,149454,54750.0,False
43588,87201,62250.0,False
43588,168602,62250.0,False
43588,122904,62250.0,False
33363,32223,20250.0,False
33363,78280,52500.0,False
33363,115923,52500.0,False
33363,144342,61500.0,False
33363,164986,61500.0,False
5337,5188,31500.0,False
5337,54152,40750.0,False
5337,96876,49000.0,False
5337,130095,60500.0,False
5337,154589,74000.0,False
5338,206335,13500.0,False
5338,5189,13500.0,False
5338,54153,18000.0,False
5338,210384,23000.0,False
5338,96877,23000.0,False
5338,213518,23000.0,False
5338,216007,23000.0,False
5338,130096,26000.0,False
5338,218041,30500.0,False
5338,154590,30500.0,False
5338,172109,31000.0,False
5338,184880,35000.0,False
5338,194120,37000.0,False
5338,201062,37000.0,False
5354,5205,16500.0,False
5354,130104,16000.0,False
5354,54168,24500.0,False
5354,96887,36000.0,False
5357,5208,14000.0,False
5357,54171,18500.0,False
5357,96890,21500.0,False
13601,13382,20000.0,False
13601,61355,20250.0,False
13601,102048,27250.0,False
13601,133433,28000.0,False
13601,156597,33750.0,False
13527,13310,27000.0,False
13527,61290,34000.0,False
13527,101997,36500.0,False
5667,5518,23750.0,False
5667,54463,26250.0,False
