kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A61473002,exclusive_84_64,84.64,127.05,38평,345,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A61473002,exclusive_122_84,122.84,151.62,45평,46,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5514,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_59_99,59.99,79.88,24평,241,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_69_99,69.99,92.73,28평,180,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_84_96,84.96,112.06,33평B,218,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10023750,exclusive_84_99,84.99,112.41,34평A,359,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=46959,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_30_14,30.14,58.43,17평F,48,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59_89,59.89,84.44,25평E,18,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59_8,59.8,84.61,25평C,245,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_59_79,59.79,85.77,25평D,163,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_62_76,62.76,88.89,26평B,108,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A10027052,exclusive_74_7,74.7,102.31,30평A,48,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=29268,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_59_94,59.94,78.57,23평,700,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_84_93,84.93,105.72,31평,200,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61476002,exclusive_119,119.0,142.93,43평,50,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5508,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84_87,84.87,106.18,32평D,71,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
A61483202,exclusive_84_98,84.98,106.48,32평A,109,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14814,2026-09-18,,,verified,sale_apartment,
