elementary_school_id,elementary_school_name,middle_school_id,middle_school_name,relation_type,relation_status,assignment_share,override_reason,override_source,updated_at
S020001253,덕두초,S020001212,대저중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 82,2026-09-11T10:11:25.609479+09:00
S020001254,덕상초,S020000975,신라중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 6,2026-09-11T10:11:25.609479+09:00
S020001255,덕성초,S020001216,덕천중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 32,2026-09-11T10:11:25.609479+09:00
S020001256,덕양초,S020001871,신덕중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 33,2026-09-11T10:11:25.609479+09:00
S020001261,만덕초,S020001219,만덕중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 35,2026-09-11T10:11:25.609479+09:00
S020002257,명일초,S020002219,명지중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 69,2026-09-11T10:11:25.609479+09:00
S020001263,명지초,S020002219,명지중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 61,2026-09-11T10:11:25.609479+09:00
S020001265,모동초,S020000966,모동중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 11,2026-09-11T10:11:25.609479+09:00
S020001266,모라초,S020001221,모라중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 12,2026-09-11T10:11:25.609479+09:00
S020001267,모산초,S020001221,모라중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 14,2026-09-11T10:11:25.609479+09:00
S020001268,배영초,S020002219,명지중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 63,2026-09-11T10:11:25.609479+09:00
S020001270,백양초,S020001222,백양중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 41,2026-09-11T10:11:25.609479+09:00
S020001874,상학초,S020001219,만덕중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 42,2026-09-11T10:11:25.609479+09:00
S020001666,송정초,S020002064,신호중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 86,2026-09-11T10:11:25.609479+09:00
S020001873,신덕초,S020001871,신덕중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 44,2026-09-11T10:11:25.609479+09:00
S020001281,신호초,S020002064,신호중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 85,2026-09-11T10:11:25.609479+09:00
S020001283,양천초,S020001216,덕천중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 47,2026-09-11T10:11:25.609479+09:00
S020001287,주감초,S020001229,주감중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 20,2026-09-11T10:11:25.609479+09:00
S020001288,주학초,S020001231,주례중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 21,2026-09-11T10:11:25.609479+09:00
S020001290,천가초,S020001214,덕문중,EXACT,ACTIVE,1.0,2026 북부교육지원청 공식 배정표의 남녀 동일 단일 배정학교 자동검증,D:\90.invest\80.데이터수집\아파트정보수집\kapt\busan_school_analysis\em_school\01.북부교육지청_2026학년도 중입배정 및 전학배정표.pdf; layout line 84,2026-09-11T10:11:25.609479+09:00
