kapt_code,kapt_name,legal_dong,kb_complex_id,kb_name,reason_code,reason,match_score,match_confidence,kapt_households,kb_households,types_found,recommended_next_action,source_url
A61381805,남천코오롱하늘채골든비치,남천동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,987,,0,,
A61381903,남천뉴비치아파트,남천동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,990,,0,,
A61775307,부산모라주공3,모라동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,2385,,0,,
A61775401,백양푸른숲입주자대표회의,모라동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,900,,0,,
A61781706,모라주공1단지,모라동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,2529,,0,,
A10023104,사상 중흥S-클래스 그랜드센트럴,덕포동,49064.0,사상중흥S-클래스그랜드센트럴,HOUSEHOLDS_MISMATCH,"세대수 불일치 (KB합계=1492, K-apt=1572, 차이=80)",,high,1572,,5,,https://kbland.kr/map?complex=49064
A61776003,괘법2차한신아파트,괘법동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1094,,0,,
A10028191,감전엘에이치,감전동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,622,,0,,
A10023571,주례롯데캐슬골드스마트,주례동,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,998,,0,,
A61776104,주례반도보라매머드아파트,주례동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1206,,0,,
A61776303,주례럭키아파트,주례동,5670.0,럭키주례,LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,2293,,0,,
A61783202,신주례2차LG아파트,주례동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,874,,0,,
A61783203,LG신주례1단지아파트,주례동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,953,,0,,
A61783402,주례현대무지개아파트,주례동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,977,,0,,
A61777409,구덕대림,학장동,5701.0,학장대림(구덕),LOW_MATCH_CONFIDENCE,KB 매칭 confidence 부족 (medium),,medium,825,,0,,
A61777410,학장1지구도개공임대,학장동,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,720,,0,,
A61778507,엄궁쌍용스윗닷홈,엄궁동,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,607,,0,,
A61990514,기장한신그린코아아파트,기장읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,1131,,0,,
A61970415,부산기장교리,기장읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,875,,0,,
A61970311,기장서부주공아파트,기장읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,702,,0,,
A10023692,웨이브리즈아파트,기장읍,,,MIXED_RENTAL_COMPLEX,혼합 단지 (sale_type=혼합),,unmatched,728,,0,,
A61990609,기장2주공아파트,기장읍,,,KB_COMPLEX_NOT_FOUND,KB 단지 매칭 실패 (후보 0개),,unmatched,520,,0,,
A61990213,내리 휴먼시아1단지,기장읍,,,RENTAL_COMPLEX,임대 단지 (sale_type=임대),,unmatched,1002,,0,,
