kapt_code,area_group_id,exclusive_area_sqm,supply_area_sqm,type_name,households,source,verified_at,valid_from,valid_to,verification_status,scope,notes
A61479902,exclusive_110.93,110.93,141.87,42평,140.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_109.54,109.54,143.89,43평,72.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_118.61,118.61,159.89,48평,166.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61479902,exclusive_130.34,130.34,167.86,50평,68.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14276,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_59.72,59.72,79.04,23평B,125.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_59.84,59.84,79.17,23평A,176.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_84.98,84.98,106.6,32평,324.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404006,exclusive_124.09,124.09,149.53,45평,80.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=5515,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_25.97,25.97,39.58,11평,24.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_33.74,33.74,49.59,15평,316.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_52.76,52.76,78.49,23평,96.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_59.94,59.94,81.18,24평,177.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_72.21,72.21,97.3,29평,185.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_84.81,84.81,117.3,35평,369.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_102.55,102.55,129.09,39평,47.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_113.03,113.03,148.96,45평,134.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61404007,exclusive_141.19,141.19,171.27,51평,47.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13082,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_28.8,28.8,38.54,11평K,112.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_30.49,30.49,40.83,12평J,270.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_33.74,33.74,45.18,13평I,22.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_38.53,38.53,51.6,15평H,22.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_39.82,39.82,53.32,16평G,24.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_41.76,41.76,55.91,16평F,8.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_44.64,44.64,59.78,18평D,8.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_45.15,45.15,60.46,18평E,20.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_46.33,46.33,62.05,18평C,20.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_60.99,60.99,81.67,24평B,4.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61477302,exclusive_64.23,64.23,85.92,25평A,2.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=13167,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84.98,84.98,110.6,33평C,132.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
A61486301,exclusive_84.76,84.76,111.57,33평A2,28.0,KB부동산 단지 시세/평형정보 | https://kbland.kr/map?complex=14284,2026-09-18,,,verified,sale_apartment,
