kapt_code,kapt_name,legal_dong,kapt_address,kapt_households,kb_complex_id,kb_name,kb_address,kb_households,kb_url,match_score,match_confidence,match_method,verified_at
A60775407,동원로얄듀크,낙민동,부산광역시 동래구 낙민동 94-1 동원로얄듀크,632.0,5417,동원로얄듀크,,,https://kbland.kr/map?complex=5417,,high,playwright_search,2026-09-18T10:33:54.159514
A60775605,동래우성아파트,낙민동,부산광역시 동래구 낙민동 83-1 동래우성아파트,531.0,5414,동래우성,,,https://kbland.kr/map?complex=5414,,high,playwright_search,2026-09-18T10:33:56.370126
A60776006,동래한양아파트,낙민동,부산광역시 동래구 낙민동 172 동래한양아파트,552.0,5418,동래한양,,,https://kbland.kr/map?complex=5418,,high,playwright_search,2026-09-18T10:33:58.554355
A60780104,중앙하이츠2차아파트,낙민동,부산광역시 동래구 낙민동 90-6 중앙하이츠2차아파트,511.0,5416,중앙하이츠2단지,,,https://kbland.kr/map?complex=5416,,high,playwright_search,2026-09-18T10:34:00.745209
A60780108,낙민한일유앤아이,낙민동,부산광역시 동래구 낙민동 77-1 낙민한일유앤아이,935.0,15051,낙민동한일유앤아이,,,https://kbland.kr/map?complex=15051,,high,playwright_search,2026-09-18T10:34:02.972474
A60702002,우성베스토피아아파트,복천동,부산광역시 동래구 복천동 500-1 우성베스토피아아파트,744.0,5411,우성베스토피아,,,https://kbland.kr/map?complex=5411,,high,playwright_search,2026-09-18T10:34:05.175986
A10023781,힐스테이트 명륜 트라디움,명륜동,부산광역시 동래구 명륜동 700-101 힐스테이트 명륜 트라디움,874.0,45594,힐스테이트명륜트라디움,,,https://kbland.kr/map?complex=45594,,high,playwright_search,2026-09-18T10:34:07.395792
A10025687,명륜자이,명륜동,부산광역시 동래구 명륜동 650-1 명륜자이,671.0,34200,명륜자이,,,https://kbland.kr/map?complex=34200,,high,playwright_search,2026-09-18T10:34:09.570635
A10023417,더샵 동래,온천동,부산광역시 동래구 온천동 455-2 더샵 동래,603.0,43564,더샵동래,,,https://kbland.kr/map?complex=43564,,high,playwright_search,2026-09-18T10:34:26.205369
A10025463,동래효성해링턴플레이스,온천동,부산광역시 동래구 온천동 1838 동래효성해링턴플레이스,762.0,30915,동래효성해링턴플레이스,,,https://kbland.kr/map?complex=30915,,high,playwright_search,2026-09-18T10:34:36.675365
A10026316,동래삼정그린코아포레스트,온천동,부산광역시 동래구 온천동 1833 동래삼정그린코아포레스트,582.0,30755,동래삼정그린코아포레스트,,,https://kbland.kr/map?complex=30755,,high,playwright_search,2026-09-18T10:34:38.913113
A60775306,동래럭키아파트,온천동,부산광역시 동래구 온천동 707 동래럭키아파트,1536.0,5434,럭키,,,https://kbland.kr/map?complex=5434,,high,playwright_search,2026-09-18T10:34:42.211955
A60783306,벽산 아스타,온천동,부산광역시 동래구 온천동 178-7 벽산 아스타,648.0,15340,벽산아스타,,,https://kbland.kr/map?complex=15340,,high,playwright_search,2026-09-18T10:34:44.434275
A60784207,온천동반도보라스카이뷰,온천동,부산광역시 동래구 온천동 1412-1 온천동반도보라스카이뷰,1149.0,13877,온천동반도보라스카이뷰,,,https://kbland.kr/map?complex=13877,,high,playwright_search,2026-09-18T10:34:46.640352
A10022591,사직 하늘채 리센티아,사직동,부산광역시 동래구 사직동 566-3 사직 하늘채 리센티아,690.0,550539,사직하늘채리센티아,,,https://kbland.kr/map?complex=550539,,high,playwright_search,2026-09-18T10:34:48.881590
A10027341,사직KCC스위첸,사직동,부산광역시 동래구 사직동 614-4 사직KCC스위첸,999.0,27382,사직KCC스위첸,,,https://kbland.kr/map?complex=27382,,high,playwright_search,2026-09-18T10:34:58.349081
A60712001,사직2차삼정그린코아,사직동,부산광역시 동래구 사직동 590-3 사직2차삼정그린코아,560.0,14279,사직2차삼정그린코아,,,https://kbland.kr/map?complex=14279,,high,playwright_search,2026-09-18T10:35:00.539410
A60712204,사직한신아파트,사직동,부산광역시 동래구 사직동 597 사직한신아파트,710.0,5474,한신,,,https://kbland.kr/map?complex=5474,,high,playwright_search,2026-09-18T10:35:03.776376
A60776402,사직2차쌍용예가,사직동,부산광역시 동래구 사직동 1020 사직2차쌍용예가,625.0,16124,사직2차쌍용예가,,,https://kbland.kr/map?complex=16124,,high,playwright_search,2026-09-18T10:35:06.001556
A60778608,사직쌍용예가,사직동,부산광역시 동래구 사직동 1017 사직쌍용예가,2947.0,14653,사직쌍용예가,,,https://kbland.kr/map?complex=14653,,high,playwright_search,2026-09-18T10:35:08.237715
A10022847,더비치푸르지오써밋,대연동,부산광역시 남구 대연동 1808 더비치푸르지오써밋,1384.0,1072913,더비치푸르지오써밋,,,https://kbland.kr/map?complex=1072913,,high,playwright_search,2026-09-18T10:35:16.781130
A10025593,대연자이 아파트,대연동,부산광역시 남구 대연동 630-1 대연자이 아파트,965.0,34178,대연자이,,,https://kbland.kr/map?complex=34178,,high,playwright_search,2026-09-18T10:35:21.012159
A10026094,대연sk뷰힐스아파트,대연동,부산광역시 남구 대연동 1346-345 대연sk뷰힐스아파트,994.0,31369,대연SK뷰힐스,,,https://kbland.kr/map?complex=31369,,high,playwright_search,2026-09-18T10:35:23.239015
A10026184,대연파크푸르지오아파트,대연동,부산광역시 남구 대연동 1160-1 대연파크푸르지오아파트,1422.0,31111,대연파크푸르지오,,,https://kbland.kr/map?complex=31111,,high,playwright_search,2026-09-18T10:35:25.413195
A10026452,대연롯데캐슬레전드,대연동,부산광역시 남구 대연동 1872 대연롯데캐슬레전드,3149.0,30004,대연롯데캐슬레전드,,,https://kbland.kr/map?complex=30004,,high,playwright_search,2026-09-18T10:35:27.647932
A60802001,대연힐스테이트푸르지오,대연동,부산광역시 남구 대연동 1858 대연힐스테이트푸르지오,2304.0,26745+26888,대연힐스테이트푸르지오,,2304,https://kbland.kr/map?complex=26745,,exact,playwright_search,2026-09-18T10:35:34.920338
A60874408,대연동푸르지오,대연동,부산광역시 남구 대연동 93-3 대연동푸르지오,678.0,13192,부산대연동푸르지오,,,https://kbland.kr/map?complex=13192,,high,playwright_search,2026-09-18T10:35:37.119192
A60875509,대우그린아파트,대연동,부산광역시 남구 대연동 245 대우그린아파트,691.0,5324,대우그린(1차),,,https://kbland.kr/map?complex=5324,,high,playwright_search,2026-09-18T10:35:39.320040
A60877710,삼익그린타운,대연동,부산광역시 남구 대연동 245-23 삼익그린타운,725.0,5328,삼익그린타운,,,https://kbland.kr/map?complex=5328,,high,playwright_search,2026-09-18T10:35:41.550983
A60877907,대연청구아파트,대연동,부산광역시 남구 대연동 243-23 대연청구아파트,604.0,5329,대연청구,,,https://kbland.kr/map?complex=5329,,high,playwright_search,2026-09-18T10:35:43.759784
A10023436,데시앙해링턴플레이스파크시티,용호동,부산광역시 남구 용호동 980 데시앙해링턴플레이스파크시티,1725.0,47451,데시앙해링턴플레이스파크시티,,,https://kbland.kr/map?complex=47451,,high,playwright_search,2026-09-18T10:35:45.988670
A60809002,GS하이츠자이,용호동,부산광역시 남구 용호동 197 GS하이츠자이,1149.0,15459,GS하이츠자이,,,https://kbland.kr/map?complex=15459,,high,playwright_search,2026-09-18T10:35:54.580388
A60809004,LG메트로시티아파트,용호동,부산광역시 남구 용호동 176-30 LG메트로시티아파트,7374.0,5389,LG메트로시티(1차),,,,,medium,playwright_search,2026-09-18T10:36:06.230649
A60876301,용호일신프리빌리지,용호동,부산광역시 남구 용호동 179-4 용호일신프리빌리지,518.0,5385,일신프리빌리지,,,https://kbland.kr/map?complex=5385,,high,playwright_search,2026-09-18T10:36:09.481689
A60876402,현대비치아파트,용호동,부산광역시 남구 용호동 181-1 현대비치아파트,648.0,5384,현대비치,,,https://kbland.kr/map?complex=5384,,high,playwright_search,2026-09-18T10:36:11.717483
A61202008,쌍용예가,용호동,부산광역시 남구 용호동 976 쌍용예가,773.0,25692,쌍용예가(용호예가),,,https://kbland.kr/map?complex=25692,,high,playwright_search,2026-09-18T10:36:20.271952
A60883003,신대연코오롱하늘채아파트,용당동,부산광역시 남구 용당동 599-1 신대연코오롱하늘채아파트,712.0,14864,신대연코오롱하늘채,,,https://kbland.kr/map?complex=14864,,high,playwright_search,2026-09-18T10:36:27.665387
A10020004,롯데캐슬 인피니엘,문현동,부산광역시 남구 문현동 295-1 롯데캐슬 인피니엘,715.0,961704,롯데캐슬인피니엘,,,https://kbland.kr/map?complex=961704,,high,playwright_search,2026-09-18T10:36:29.929819
