학구ID,학교ID,학교명,학교급구분,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,데이터기준일자
Z000100258,B000002129,서울가원초등학교,초등학교,7010000,서울특별시교육청,7130000,서울특별시강동송파교육지원청,2025-09-22
Z000101201,B000003071,인천성리초등학교,초등학교,7310000,인천광역시교육청,7341000,인천광역시동부교육지원청,2025-09-22
Z000151517,B000004955,북삼초등학교,초등학교,7801000,강원특별자치도교육청,7842000,강원특별자치도동해교육지원청,2025-09-22
Z000102349,B000022573,군포신기초등학교,초등학교,7530000,경기도교육청,7642000,경기도군포의왕교육지원청,2025-09-22
Z000100007,B000001867,서울면동초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000150002,B000001867,서울면동초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000105920,B000007925,병곡초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150816,B000007925,병곡초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000150817,B000007925,병곡초등학교,초등학교,9010000,경상남도교육청,9201000,경상남도함양교육지원청,2025-09-22
Z000103257,B000005098,옥동초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000150361,B000005098,옥동초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000150761,B000005098,옥동초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000105035,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150829,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150830,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150831,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150832,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150833,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150834,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150835,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150836,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150837,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150839,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150840,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150841,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150842,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150843,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000150844,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000151206,B000006985,안강초등학교,초등학교,8750000,경상북도교육청,8771000,경상북도경주교육지원청,2025-09-22
Z000100389,B000002289,서울논현초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000100897,B000002734,대구수창초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100388,B000002281,서울구룡초등학교,초등학교,7010000,서울특별시교육청,7091300,서울특별시강남서초교육지원청,2025-09-22
Z000101621,B000003478,학하초등학교,초등학교,7430000,대전광역시교육청,7451000,대전광역시서부교육지원청,2025-09-22
Z000101454,B000003264,유촌초등학교,초등학교,7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2025-09-22
Z000100581,B000002438,부민초등학교,초등학교,7150000,부산광역시교육청,7171000,부산광역시서부교육지원청,2025-09-22
Z000103455,B000005362,한국교원대학교부설월곡초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2025-09-22
Z000151242,B000005362,한국교원대학교부설월곡초등학교,초등학교,8000000,충청북도교육청,8011000,충청북도청주교육지원청,2025-09-22
Z000105347,B000007330,동산초등학교,초등학교,8750000,경상북도교육청,8911000,경상북도청도교육지원청,2025-09-22
Z000102534,B000004188,안녕초등학교,초등학교,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2025-09-22
Z000150229,B000004188,안녕초등학교,초등학교,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2025-09-22
Z000151565,B000004188,안녕초등학교,초등학교,7530000,경기도교육청,7679000,경기도화성오산교육지원청,2025-09-22
Z000100017,B000001875,서울신내초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000100029,B000001866,서울중곡초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000150003,B000001866,서울중곡초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000103246,B000005100,마차초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000150361,B000005100,마차초등학교,초등학교,7801000,강원특별자치도교육청,7902000,강원특별자치도영월교육지원청,2025-09-22
Z000100027,B000001850,서울전농초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000150005,B000001850,서울전농초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000151018,B000001850,서울전농초등학교,초등학교,7010000,서울특별시교육청,7021000,서울특별시동부교육지원청,2025-09-22
Z000100870,B000002758,대구동신초등학교,초등학교,7240000,대구광역시교육청,7251000,대구광역시동부교육지원청,2025-09-22
Z000100968,B000002816,대구중리초등학교,초등학교,7240000,대구광역시교육청,7261000,대구광역시서부교육지원청,2025-09-22
Z000103273,B000005115,장평초등학교,초등학교,7801000,강원특별자치도교육청,7912000,강원특별자치도평창교육지원청,2025-09-22
Z000150365,B000005115,장평초등학교,초등학교,7801000,강원특별자치도교육청,7912000,강원특별자치도평창교육지원청,2025-09-22
Z000100329,B000022762,서울공진초등학교,초등학교,7010000,서울특별시교육청,7081300,서울특별시강서양천교육지원청,2025-09-22
Z000100472,B000002314,서울영화초등학교,초등학교,7010000,서울특별시교육청,7132000,서울특별시동작관악교육지원청,2025-09-22
Z000101965,B000003866,안양관악초등학교,초등학교,7530000,경기도교육청,7569000,경기도안양과천교육지원청,2025-09-22
Z000103982,B000005883,대술초등학교,초등학교,8140000,충청남도교육청,8271000,충청남도예산교육지원청,2025-09-22
