kapt_code,kapt_name,final_status,master_included,excluded,pending,verification_source,area_row_count,notes
A10025662,포레나동래아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A60775407,동원로얄듀크,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60775605,동래우성아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60776006,동래한양아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60780104,중앙하이츠2차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A60780108,낙민한일유앤아이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A60702002,우성베스토피아아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10023781,힐스테이트 명륜 트라디움,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10025687,명륜자이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,12,
A10027690,명륜2차아이파크아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,11,
A60701003,동래센트럴파크하이츠2단지,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A60701004,명륜아이파크,VERIFIED_MASTER,True,False,False,KB부동산 (25211+25212),14,전체 주거 세대 (1단지+2단지 통합 산정)
A10022002,래미안포레스티지,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,25,
A10023417,더샵 동래,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10023975,동래래미안아이파크아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,17,
A10024005,동래3차 SK VIEW 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10025463,동래효성해링턴플레이스,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10026316,동래삼정그린코아포레스트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60775306,동래럭키아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A60783306,벽산 아스타,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,13,
A60784207,온천동반도보라스카이뷰,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,10,
A10022591,사직 하늘채 리센티아,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10024982,쌍용 더 플래티넘 사직 아시아드,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10027054,사직롯데캐슬더클래식,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10027341,사직KCC스위첸,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,15,
A60712001,사직2차삼정그린코아,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A60712204,사직한신아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A60776402,사직2차쌍용예가,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60778608,사직쌍용예가,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60782005,사직삼정그린코아아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10022847,더비치푸르지오써밋,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,10,
A10022999,대연푸르지오클라센트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10025593,대연자이 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10026094,대연sk뷰힐스아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A10026184,대연파크푸르지오아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A10026452,대연롯데캐슬레전드,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,16,
A10028145,대연롯데캐슬,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A60802001,대연힐스테이트푸르지오,VERIFIED_MASTER,True,False,False,KB부동산 (26745+26888),23,"전체 주거 세대 (아파트 2,100세대 + 주상복합 204세대 전체 2,304세대 전수 산정)"
A60874408,대연동푸르지오,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,13,
A60875509,대우그린아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A60877710,삼익그린타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60877907,대연청구아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10023436,데시앙해링턴플레이스파크시티,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10026391,W 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,72,
A60809002,GS하이츠자이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A60809003,오륙도SK VIEW,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,14,
A60809004,LG메트로시티아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,25,
A60876301,용호일신프리빌리지,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60876402,현대비치아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60883203,일신-님Ⅱ아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61202008,쌍용예가,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A60871104,용당현대I-PARK,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60883003,신대연코오롱하늘채아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10020004,롯데캐슬 인피니엘,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10023533,오션파라곤,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,10,
A10023872,대연양우내안애 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10024704,문현경동리인,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,11,
A10025508,문현베스티움아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60804003,문현동삼성아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A60872101,대림문현시티프라자,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,14,
A60879704,문현현대아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A10020289,두산위브더제니스 오션시티 ,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A60877107,우암일신보라,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A60875305,감만현대1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A60880104,감만동일스위트아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10027989,신화명리버뷰자이아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10028138,동원역삼정그린코아,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A61673902,율리벽산블루밍,VERIFIED_MASTER,True,False,False,KB부동산 (25534+25582),5,전체 주거 세대 (1단지+2단지 통합 산정)
A61674824,부산율리마을,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61674912,화명뜨란채,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61676006,금곡한솔아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61676118,금곡주공1단지,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61676215,금곡주공2단지,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61676316,금곡주공3단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61676422,금곡주공4단지,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61676509,금곡주공5단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61676605,금곡주공6단지아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61676723,금곡주공7단지,EXCLUDED_RENTAL_ONLY,False,True,False,공공/국민임대 공식확인,0,
A61676814,금곡9단지주공,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61677013,화명한일유앤아이,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61681107,금곡화목타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61681108,금곡조성협진아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61684110,화명리버빌2차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A10024341,화명푸르지오헤리센트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,9,
A10027790,e편한세상 화명힐스 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61612010,화명2차현대아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61612011,화명대우이안아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61612013,화명코오롱하늘채1차아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A61612016,화명수정강변타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61612017,대림쌍용강변타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,7,
A61612018,화명롯데낙천대,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,5,
A61612019,화명대림타운,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
A61673302,삼한힐파크아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61673304,화명동원로얄듀크,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61673305,화명유림아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61673308,화명롯데캐슬카이저,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,15,
A61679206,벽산강변타운아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A61679207,도시화명그린(21B)아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61679208,화명경남아너스빌,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A61683305,그린숲속(화명그린24),VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,1,
A61685214,화명코오롱하늘채2차,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,4,
A10023725,백양산 베스티움에코포레,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,2,
A10024318,e편한세상 금정산 아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,6,
A10025235,더래디언트금정산,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,12,
A10027832,백양디이스트,VERIFIED_MASTER,True,False,False,KB부동산 (26496),10,"전체 분양 세대 (임대 630세대 제외 3,160세대 전수 산정)"
A61673103,신만덕쌍용예가,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61675601,만덕 상록한신휴플러스아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61675806,만덕삼성아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,3,
A61678209,만덕그린코아아파트,VERIFIED_MASTER,True,False,False,KB부동산 / 공식자료,8,
